,Area,Date,Mean,Price,Count
15,AL1,2010,391350.2391608392,279815421,715
39,AL10,2010,208056.47899159664,74276163,357
63,AL2,2010,343905.73731343285,115208422,335
87,AL3,2010,384236.87872340425,180591333,470
111,AL4,2010,379150.6195899772,166447122,439
135,AL5,2010,559837.9930795848,323586360,578
159,AL6,2010,553385.4197530864,89648438,162
183,AL7,2010,212679.25484764544,76777211,361
207,AL8,2010,335072.91095890413,48920645,146
231,AL9,2010,512508.54545454547,67651128,132
255,B1,2010,137535.90625,22005745,160
279,B10,2010,112587.87037037036,12159490,108
303,B11,2010,120058.23636363636,33016015,275
327,B12,2010,125820.53571428571,7045950,56
351,B13,2010,216073.00265957447,81243449,376
375,B14,2010,148898.64545454545,65515404,440
399,B15,2010,263983.26587301586,66523783,252
423,B16,2010,145644.21304347826,33498169,230
447,B17,2010,241726.66089108912,97657571,404
471,B18,2010,127995.57692307692,9983655,78
495,B19,2010,100450.66071428571,5625237,56
537,B20,2010,147706.8940397351,22303741,151
561,B21,2010,107786.09937888199,17353562,161
585,B23,2010,121857.85163776494,63244225,519
609,B24,2010,132664.8975409836,32370235,244
633,B25,2010,116015.76699029126,11949624,103
657,B26,2010,133223.7341772152,42098700,316
681,B27,2010,127799.79207920792,25815558,202
705,B28,2010,171167.5552050473,54260115,317
729,B29,2010,158823.3409090909,55905816,352
753,B3,2010,146038.34615384616,7593994,52
777,B30,2010,159462.34502923978,54536122,342
801,B31,2010,128212.12970711297,61285398,478
825,B32,2010,121826.8485915493,34598825,284
849,B33,2010,107737.65217391304,24779660,230
873,B34,2010,118141.97604790419,19729710,167
897,B35,2010,97642.30769230769,2538700,26
921,B36,2010,153213.51020408163,37537310,245
945,B37,2010,126638.65550239234,26467479,209
969,B38,2010,146281.95375722542,25306778,173
991,B4,2010,79788.61111111111,1436195,18
1017,B42,2010,127215.43781094527,25570303,201
1041,B43,2010,159421.0824742268,46391535,291
1065,B44,2010,106376.56721311476,32444853,305
1089,B45,2010,188995.1255060729,46681796,247
1113,B46,2010,196376.57664233577,26903591,137
1137,B47,2010,227374.3125,25465923,112
1161,B48,2010,295104.98630136985,21542664,73
1185,B49,2010,250128.9256198347,30265600,121
1209,B5,2010,132605.13679245283,28112289,212
1233,B50,2010,211730.78873239437,15032886,71
1257,B6,2010,109686.8625,8774949,80
1281,B60,2010,209733.62402088774,80327978,383
1305,B61,2010,199843.93006993007,57155364,286
1329,B62,2010,174358.36437246963,43066516,247
1353,B63,2010,151137.22627737228,62117400,411
1377,B64,2010,136328.384057971,18813317,138
1401,B65,2010,113351.27860696518,22783607,201
1425,B66,2010,113805.78712871287,22988769,202
1449,B67,2010,128443.20888888888,28899722,225
1473,B68,2010,125744.01158301158,32567699,259
1497,B69,2010,114635.24242424243,30263704,264
1521,B7,2010,82352.94117647059,1400000,17
1545,B70,2010,103311.5843373494,17149723,166
1569,B71,2010,128136.51091703057,29343261,229
1593,B72,2010,219836.8025477707,34514378,157
1617,B73,2010,234903.16034985424,80571784,343
1641,B74,2010,327680.625,162529590,496
1665,B75,2010,244286.88787878788,80614673,330
1689,B76,2010,200040.8422939068,55811395,279
1713,B77,2010,148504.81306306308,65936137,444
1737,B78,2010,161937.34666666668,36435903,225
1761,B79,2010,182725.54123711342,35448755,194
1785,B8,2010,109608.98717948717,25648503,234
1809,B80,2010,191475.0,17998650,94
1833,B9,2010,110643.24193548386,13719762,124
1857,B90,2010,218216.30127298445,154278925,707
1881,B91,2010,332632.4861751152,144362499,434
1905,B92,2010,214314.2901098901,97513002,455
1929,B93,2010,373901.2147887324,106187945,284
1953,B94,2010,436697.7555555556,39302798,90
1977,B95,2010,325138.8764044944,28937360,89
2001,B96,2010,280522.4137931034,16270300,58
2025,B97,2010,178242.10482180293,85021484,477
2049,B98,2010,149126.4260089686,66510386,446
2073,BA1,2010,353285.1641566265,234581349,664
2097,BA10,2010,233841.30434782608,10756700,46
2121,BA11,2010,208520.56129032257,96962061,465
2145,BA12,2010,223112.745308311,83221054,373
2169,BA13,2010,190981.9306930693,57867525,303
2193,BA14,2010,194893.82122093023,134086949,688
2217,BA15,2010,288177.01310043666,65992536,229
2241,BA16,2010,187964.48598130842,40224400,214
2265,BA2,2010,310060.46390658175,292076957,942
2289,BA20,2010,171451.72392638036,27946631,163
2313,BA21,2010,163131.22272727272,71777738,440
2337,BA22,2010,242524.95945945947,53840541,222
2361,BA3,2010,201566.59764705884,85665804,425
2385,BA4,2010,214330.6406926407,49510378,231
2409,BA5,2010,240807.8441064639,63332463,263
2433,BA6,2010,232489.6652719665,55565030,239
2457,BA7,2010,250831.6326530612,12290750,49
2481,BA8,2010,203489.0909090909,11191900,55
2505,BA9,2010,205926.01515151514,27182234,132
2529,BB1,2010,110165.64038461538,57286133,520
2553,BB10,2010,92068.06157635468,37379633,406
2577,BB11,2010,79247.10583941606,21713707,274
2601,BB12,2010,119138.6375,47655455,400
2625,BB18,2010,117551.4705882353,23980500,204
2649,BB2,2010,121004.93401759531,82525365,682
2673,BB3,2010,104233.27548209367,37836679,363
2697,BB4,2010,139217.63705583755,54851749,394
2721,BB5,2010,96154.14240506329,60769418,632
2745,BB6,2010,152102.95953757226,26313812,173
2769,BB7,2010,215662.48546511628,74187895,344
2793,BB8,2010,118507.04150943396,31404366,265
2817,BB9,2010,92158.2190889371,42484939,461
2841,BD1,2010,98840.96774193548,3064070,31
2865,BD10,2010,137305.9346153846,35699543,260
2889,BD11,2010,153811.5,15996396,104
2913,BD12,2010,121057.0890410959,17674335,146
2937,BD13,2010,141416.50740740742,38182457,270
2961,BD14,2010,128047.30666666667,9603548,75
2985,BD15,2010,142534.0484848485,23518118,165
3009,BD16,2010,181034.22514619882,61913705,342
3033,BD17,2010,176018.4852320675,41716381,237
3057,BD18,2010,144358.30639730638,42874417,297
3081,BD19,2010,154293.32340425532,36258931,235
3105,BD2,2010,110867.32,30488513,275
3129,BD20,2010,174335.0588235294,82983488,476
3153,BD21,2010,103983.1407035176,20692645,199
3177,BD22,2010,148937.37102473498,42149276,283
3201,BD23,2010,224997.82857142857,86624164,385
3225,BD24,2010,255448.7951807229,21202250,83
3249,BD3,2010,84110.96610169491,14887641,177
3273,BD4,2010,108353.35887096774,26871633,248
3297,BD5,2010,84551.59322033898,14965632,177
3321,BD6,2010,106963.99280575539,29735990,278
3345,BD7,2010,96837.11206896552,22466210,232
3369,BD8,2010,93284.65811965812,21828610,234
3393,BD9,2010,127961.48648648648,23672875,185
3419,BH1,2010,185792.00350877194,52950721,285
3443,BH10,2010,208116.42599277978,57648250,277
3467,BH11,2010,193726.2233502538,38164066,197
3491,BH12,2010,188031.87412587414,80665674,429
