,Area,Date,Mean,Price,Count
9,AL1,2004,283315.0,265466155,937
33,AL10,2004,206034.06649937265,164209151,797
57,AL2,2004,273102.74696356273,134912757,494
81,AL3,2004,286806.23699421965,198469916,692
105,AL4,2004,270589.41414141416,160730112,594
129,AL5,2004,375581.8569299553,252015426,671
153,AL6,2004,424888.77894736844,80728868,190
177,AL7,2004,197615.23828125,151768503,768
201,AL8,2004,268661.9008264463,65016180,242
225,AL9,2004,346118.8779342723,73723321,213
249,B1,2004,168929.81315789474,64193329,380
273,B10,2004,112202.61403508772,31977745,285
297,B11,2004,114200.41956882256,68862853,603
321,B12,2004,113455.522875817,17358695,153
345,B13,2004,172729.03880597014,115728456,670
369,B14,2004,134988.14342105263,102590989,760
393,B15,2004,237652.6701754386,67731011,285
417,B16,2004,165091.51002506266,131743025,798
441,B17,2004,209787.5434412266,123145288,587
465,B18,2004,125404.1757925072,43515249,347
489,B19,2004,87648.31060606061,11569577,132
509,B2,2004,126967.02702702703,4697780,37
531,B20,2004,138536.14686825054,64142236,463
555,B21,2004,91806.8818380744,41955745,457
579,B23,2004,106035.4117063492,106883695,1008
603,B24,2004,130295.044546851,84822074,651
627,B25,2004,116192.97342192692,34974085,301
651,B26,2004,127524.36559139784,83018362,651
675,B27,2004,126179.42915811088,61449382,487
699,B28,2004,170028.7703180212,96236284,566
723,B29,2004,144538.84953395472,108548676,751
747,B3,2004,161178.52307692307,31429812,195
771,B30,2004,142140.715942029,98077094,690
795,B31,2004,133072.30909090908,139060563,1045
819,B32,2004,118250.02181208054,70477013,596
843,B33,2004,99113.8285229202,58378045,589
867,B34,2004,116198.06727828746,37996768,327
891,B35,2004,103631.0,9844945,95
915,B36,2004,139723.4706959707,76289015,546
939,B37,2004,122779.55231560892,71580479,583
963,B38,2004,125646.53714285714,43976288,350
985,B4,2004,115829.16666666667,1389950,12
1011,B42,2004,119850.71582733814,66636998,556
1035,B43,2004,141911.7367256637,64144105,452
