,Area,Date,Mean,Price,Count
19,AL1,2014,470091.9105199516,388766010,827
43,AL10,2014,257028.97802197802,140337822,546
67,AL2,2014,370106.7413441955,181722410,491
91,AL3,2014,481549.1488673139,297597374,618
115,AL4,2014,447164.6404255319,210167381,470
139,AL5,2014,679266.9086614173,431334487,635
163,AL6,2014,592083.280952381,124337489,210
187,AL7,2014,240809.03459119497,153154546,636
211,AL8,2014,446051.88333333336,107052452,240
235,AL9,2014,517430.63176895306,143328285,277
259,B1,2014,175939.0,57707992,328
283,B10,2014,159282.62376237623,16087545,101
307,B11,2014,138295.74703557312,34988824,253
331,B12,2014,124477.86458333333,11949875,96
355,B13,2014,205600.99217221135,105062107,511
379,B14,2014,156387.51315789475,95083608,608
403,B15,2014,380662.3128834356,124095914,326
427,B16,2014,176369.90712074304,56967480,323
451,B17,2014,240472.34845735028,132500264,551
475,B18,2014,123382.16129032258,19124235,155
499,B19,2014,139001.62637362638,12649148,91
517,B2,2014,2328951.0789473685,88500141,38
541,B20,2014,152772.28310502283,33457130,219
565,B21,2014,252107.13836477988,40085035,159
589,B23,2014,113137.08347245409,67769113,599
613,B24,2014,145386.73058252427,59899333,412
637,B25,2014,114174.52866242039,17925401,157
661,B26,2014,147769.505,88661703,600
685,B27,2014,138231.88768115942,38152001,276
709,B28,2014,185029.56673960612,84558512,457
733,B29,2014,178890.24448529413,97316293,544
757,B3,2014,200782.58125,32125213,160
781,B30,2014,183360.1784140969,83245521,454
805,B31,2014,142261.1620947631,114093452,802
829,B32,2014,170772.0913140312,76676669,449
853,B33,2014,115336.16944444444,41521021,360
877,B34,2014,117506.875,28201650,240
901,B35,2014,105104.4696969697,6936895,66
925,B36,2014,167468.4193548387,67489773,403
949,B37,2014,187996.7323943662,80086608,426
973,B38,2014,150514.22222222222,46057352,306
995,B4,2014,8979968.0,179599360,20
1021,B42,2014,152165.65497076022,52040654,342
1045,B43,2014,172060.29238329237,70028539,407
1069,B44,2014,110155.84116331096,49239661,447
1093,B45,2014,222174.3429118774,115975007,522
1117,B46,2014,237857.60223048326,63983695,269
1141,B47,2014,260147.7397260274,37981570,146
1165,B48,2014,326246.0561797753,29035899,89
1189,B49,2014,276688.3423913043,50910655,184
1213,B5,2014,185991.8441064639,48915855,263
1237,B50,2014,236315.015625,30248322,128
1261,B6,2014,222492.68235294116,18911878,85
1285,B60,2014,242743.69755244756,138849395,572
1309,B61,2014,206545.64562118126,101413912,491
1333,B62,2014,180279.5138121547,65261184,362
1357,B63,2014,145603.42299794662,70908867,487
1381,B64,2014,133901.72272727272,29458379,220
1405,B65,2014,111576.78210116732,28675233,257
1429,B66,2014,137378.85496183205,35993260,262
1453,B67,2014,128062.65853658537,42004552,328
1477,B68,2014,133238.61842105264,60756810,456
1501,B69,2014,123435.9963768116,34068335,276
1525,B7,2014,187831.0344827586,5447100,29
1549,B70,2014,120572.92405063291,28575783,237
1573,B71,2014,135449.57012195123,44427459,328
1597,B72,2014,246386.866359447,53465950,217
1621,B73,2014,265011.4572072072,117665087,444
1645,B74,2014,314032.521875,200980814,640
1669,B75,2014,248094.20253164557,117596652,474
1693,B76,2014,246389.01955307263,88207269,358
1717,B77,2014,171346.95327102803,146672992,856
1741,B78,2014,209610.80716253445,76088723,363
1765,B79,2014,205898.40397350994,62181318,302
1789,B8,2014,106555.0396475771,24187994,227
1813,B80,2014,238844.0162601626,29377814,123
