,Area,Date,Mean,Price,Count
5,AL1,2000,182236.9300361882,151074415,829
29,AL10,2000,104347.31967213115,50921492,488
53,AL2,2000,164557.77649769586,71418075,434
77,AL3,2000,214694.5723905724,127528576,594
101,AL4,2000,195662.42352941175,133050448,680
125,AL5,2000,242841.3739967897,151290176,623
149,AL6,2000,272497.0343137255,55589395,204
173,AL7,2000,109503.66666666667,61431557,561
197,AL8,2000,186204.44104803493,42640817,229
221,AL9,2000,250475.41450777202,48341755,193
245,B1,2000,145510.9090909091,19207440,132
269,B10,2000,43660.01724137931,12661405,290
293,B11,2000,47419.905759162306,27171606,573
317,B12,2000,48040.10227272727,8455058,176
341,B13,2000,109192.99417758369,75015587,687
365,B14,2000,71866.76090014065,51097267,711
389,B15,2000,169037.86075949366,40061973,237
413,B16,2000,80796.58452722064,28198008,349
437,B17,2000,116414.84020618557,67753437,582
461,B18,2000,55377.29651162791,9524895,172
485,B19,2000,30764.88429752066,3722551,121
505,B2,2000,107611.36363636363,2367450,22
527,B20,2000,61771.57468879668,29773899,482
551,B21,2000,33741.15789473684,13462722,399
575,B23,2000,52601.22448979592,46394280,882
599,B24,2000,68644.90793650794,43246292,630
623,B25,2000,53626.459074733095,15069035,281
647,B26,2000,67547.50710900474,42757572,633
671,B27,2000,65164.23529411765,29910384,459
695,B28,2000,86977.27972027972,49751004,572
719,B29,2000,71322.60875706215,50496407,708
743,B3,2000,117575.59523809524,4938175,42
767,B30,2000,78263.19137931034,45392651,580
791,B31,2000,65316.99545970488,57544273,881
815,B32,2000,64405.01612903226,35937999,558
839,B33,2000,49972.38253638254,24036716,481
863,B34,2000,57124.308,14281077,250
887,B35,2000,45911.94029850746,3076100,67
911,B36,2000,70755.2530120482,35236116,498
935,B37,2000,77943.43950177936,43804213,562
959,B38,2000,72719.08484848485,23997298,330
981,B4,2000,92675.0,1297450,14
1007,B42,2000,58439.90744101634,32200389,551
1031,B43,2000,72077.56652360516,33588146,466
1055,B44,2000,50120.37423312884,32678484,652
1079,B45,2000,101695.1264957265,59491649,585
1103,B46,2000,100924.69477911647,25130249,249
1127,B47,2000,131178.850931677,21119795,161
1151,B48,2000,137778.4081632653,13502284,98
1175,B49,2000,117289.5824742268,22754179,194
1199,B5,2000,83938.96078431372,8561774,102
1223,B50,2000,112542.05128205128,21945700,195
1247,B6,2000,35962.72277227723,7264470,202
1271,B60,2000,119986.69459962756,64432855,537
1295,B61,2000,115308.90514469454,71722139,622
1319,B62,2000,89980.92243186582,42920900,477
1343,B63,2000,65994.83180428135,43160620,654
1367,B64,2000,67058.04863221885,22062098,329
1391,B65,2000,54900.96625766871,17897715,326
1415,B66,2000,52920.192207792206,20374274,385
1439,B67,2000,54941.3006993007,31426424,572
1463,B68,2000,59392.74193548387,27617625,465
1487,B69,2000,47818.077669902916,19701048,412
1511,B7,2000,42386.11111111111,762950,18
1535,B70,2000,48539.104895104894,13882184,286
1559,B71,2000,56701.12200956938,23701069,418
