,Area,Date,Mean,Price,Count
10,AL1,2005,292983.5814863103,224718407,767
34,AL10,2005,204504.10761154856,155832130,762
58,AL2,2005,276112.52713178296,142474064,516
82,AL3,2005,312402.06867671694,186504035,597
106,AL4,2005,283516.98727272724,155934343,550
130,AL5,2005,408498.2852983988,280638322,687
154,AL6,2005,441273.4534883721,75899034,172
178,AL7,2005,187667.39781591264,120294802,641
202,AL8,2005,272792.82608695654,69016585,253
226,AL9,2005,320481.05917159765,54161299,169
250,B1,2005,160359.49552238805,53720431,335
274,B10,2005,120619.22222222222,30396044,252
298,B11,2005,123396.15891472869,63672418,516
322,B12,2005,128910.9457364341,16629512,129
346,B13,2005,188824.8142164782,116882560,619
370,B14,2005,145853.47936507937,91887692,630
394,B15,2005,222282.9088235294,75576189,340
418,B16,2005,164527.5912596401,64001233,389
442,B17,2005,210883.2742857143,110713719,525
466,B18,2005,112085.4054054054,33177280,296
490,B19,2005,99768.22033898305,11772650,118
510,B2,2005,164855.43333333332,19782652,120
532,B20,2005,150339.4479768786,52017449,346
556,B21,2005,108362.22463768115,44861961,414
580,B23,2005,117865.14534288639,115154247,977
604,B24,2005,133802.02352941176,68239032,510
628,B25,2005,118953.43389830508,35091263,295
652,B26,2005,133849.4018018018,74286418,555
676,B27,2005,135796.16136919314,55540630,409
700,B28,2005,176404.68271334792,80616940,457
724,B29,2005,152001.4839228296,94544923,622
748,B3,2005,168003.02222222224,15120272,90
772,B30,2005,153385.26876876876,102154589,666
796,B31,2005,133577.9488272921,125296116,938
820,B32,2005,127198.26763485477,61309565,482
844,B33,2005,109572.43868739206,63442442,579
868,B34,2005,120523.0366972477,39411033,327
892,B35,2005,101245.3125,6479700,64
916,B36,2005,142591.29787234042,67017910,470
940,B37,2005,119878.67842323652,57781523,482
964,B38,2005,134298.889298893,36394999,271
986,B4,2005,102333.33333333333,307000,3
1012,B42,2005,125720.22342733189,57957023,461
1036,B43,2005,143091.9588377724,59096979,413
1060,B44,2005,108186.67721518988,68373980,632
1084,B45,2005,169026.45796460178,76399959,452
1108,B46,2005,186968.42990654206,40011244,214
1132,B47,2005,228860.88524590165,41881542,183
1156,B48,2005,237645.10869565216,21863350,92
1180,B49,2005,226205.65,36192904,160
1204,B5,2005,157584.4952606635,66500657,422
1228,B50,2005,214095.9842519685,27190190,127
1252,B6,2005,97359.32352941176,16551085,170
1276,B60,2005,199612.13897763577,124957199,626
1300,B61,2005,181355.3249475891,86506490,477
1324,B62,2005,163323.29395604396,59449679,364
1348,B63,2005,137674.9499036609,71453299,519
1372,B64,2005,116662.67021276595,32898873,282
1396,B65,2005,118017.26299694189,38591645,327
1420,B66,2005,110198.73037542662,32288228,293
1444,B67,2005,120571.68702290076,63179564,524
1468,B68,2005,122618.80842105263,58243934,475
1492,B69,2005,111935.97333333333,58766386,525
1516,B7,2005,87356.66666666667,2620700,30
1540,B70,2005,99960.15877437325,35885697,359
1564,B71,2005,115542.25615763546,46910156,406
1588,B72,2005,234827.73480662983,42503820,181
1612,B73,2005,214405.90064794818,99269932,463
1636,B74,2005,288852.15396341466,189487013,656
1660,B75,2005,213519.43935926774,93307995,437
