,Area,Date,Mean,Price,Count
6,AL1,2001,200793.05573419077,187339921,933
30,AL10,2001,115395.80278884462,57928693,502
54,AL2,2001,182365.10276679843,92276742,506
78,AL3,2001,233732.01383125864,168988246,723
102,AL4,2001,204374.33333333334,131821445,645
126,AL5,2001,278027.63968668407,212969172,766
150,AL6,2001,303973.25,65658222,216
174,AL7,2001,125986.04173354735,78489304,623
198,AL8,2001,194414.24253731343,52103017,268
222,AL9,2001,249725.70731707316,51193770,205
246,B1,2001,155082.0549132948,53658391,346
270,B10,2001,49634.0777385159,14046444,283
294,B11,2001,58574.575551782684,34500425,589
318,B12,2001,56436.755952380954,9481375,168
342,B13,2001,109978.63023952096,73465725,668
366,B14,2001,81368.01453104359,61595587,757
390,B15,2001,182761.88034188034,42766280,234
414,B16,2001,115092.7019438445,53287921,463
438,B17,2001,126129.08898305085,89299395,708
462,B18,2001,68414.88395904437,20045561,293
486,B19,2001,36801.153846153844,4784150,130
506,B2,2001,105312.5,421250,4
528,B20,2001,68195.08167330678,34233931,502
552,B21,2001,39082.38524590164,19072204,488
576,B23,2001,59605.85119047619,60082698,1008
600,B24,2001,77519.97112462006,51008141,658
624,B25,2001,59043.74528301887,18775911,318
648,B26,2001,72529.32284768212,43807711,604
672,B27,2001,72525.89285714286,34522325,476
696,B28,2001,101465.08319738989,62198096,613
720,B29,2001,82565.81598062954,68199364,826
744,B3,2001,133908.55263157896,10177050,76
768,B30,2001,85505.40949554896,57630646,674
792,B31,2001,77038.16666666667,77654472,1008
816,B32,2001,66913.95719178082,39077751,584
840,B33,2001,56932.745417515274,27953978,491
864,B34,2001,67707.48497854077,15775844,233
888,B35,2001,49699.87777777778,4472989,90
912,B36,2001,79458.54372623574,41795194,526
936,B37,2001,81610.28806584362,39662600,486
960,B38,2001,75675.78796561605,26410850,349
982,B4,2001,115722.72727272728,1272950,11
1008,B42,2001,65639.75551102204,32754238,499
1032,B43,2001,85843.78251599146,40260734,469
1056,B44,2001,55590.97435897436,34688768,624
1080,B45,2001,99450.41615853658,65239473,656
1104,B46,2001,109019.65267175573,28563149,262
1128,B47,2001,136800.51794871796,26676101,195
1152,B48,2001,161236.32520325202,19832068,123
1176,B49,2001,120861.03773584905,25622540,212
1200,B5,2001,106628.57142857143,9703200,91
1224,B50,2001,145891.05140186916,31220685,214
1248,B6,2001,40242.222727272725,8853289,220
1272,B60,2001,138891.8958068615,109307922,787
1296,B61,2001,122733.9858490566,78058815,636
1320,B62,2001,92965.21286031042,41927311,451
1344,B63,2001,73980.23312883436,48235112,652
1368,B64,2001,68281.09797297297,20211205,296
1392,B65,2001,61272.20263157895,23283437,380
1416,B66,2001,58190.12655086849,23450621,403
1440,B67,2001,60518.46753246753,37279376,616
1464,B68,2001,63513.91535433071,32265069,508
1488,B69,2001,60369.68292682927,27226727,451
1512,B7,2001,39689.444444444445,1071615,27
1536,B70,2001,47787.40298507463,16008780,335
1560,B71,2001,62800.421307506054,25936574,413
1584,B72,2001,134254.1232227488,28327620,211
1608,B73,2001,136489.23247232471,73977164,542
1632,B74,2001,176782.38415545592,118267415,669
1656,B75,2001,142337.52108843537,104618078,735
1680,B76,2001,123151.1755829904,89777207,729
1704,B77,2001,86700.76975945017,100919696,1164
1728,B78,2001,88592.78189300411,43056092,486
1752,B79,2001,96447.22650602409,40025599,415
1776,B8,2001,50877.63636363636,29661662,583
1800,B80,2001,120717.64705882352,16417600,136
1824,B9,2001,49292.17258883249,19421116,394
1848,B90,2001,135460.59277917715,161333566,1191
1872,B91,2001,202441.9309428951,152438774,753
1896,B92,2001,115297.28643852979,90969559,789
1920,B93,2001,207414.47608695654,95410659,460
