,Area,Date,Mean,Price,Count
23,AL1,2018,594429.3734567901,385190234,648
47,AL10,2018,409269.1142857143,143244190,350
71,AL2,2018,609487.6038338658,190769620,313
95,AL3,2018,584369.7349081365,222644869,381
119,AL4,2018,608809.8187311179,201516050,331
143,AL5,2018,850805.4264069264,393072107,462
167,AL6,2018,682510.5031446541,108519170,159
191,AL7,2018,366599.78731343284,196497486,536
215,AL8,2018,517285.4701986755,78110106,151
239,AL9,2018,732559.05,117209448,160
263,B1,2018,974961.5207667731,305162956,313
287,B10,2018,206778.82442748093,27088026,131
311,B11,2018,168628.22123893804,57164967,339
335,B12,2018,166564.75694444444,47970650,288
359,B13,2018,247731.22843822843,106276697,429
383,B14,2018,214600.32601351352,127043393,592
407,B15,2018,358070.18499127397,205174216,573
431,B16,2018,231879.2137254902,118258399,510
455,B17,2018,335936.3594470046,145796380,434
479,B18,2018,170813.4034090909,30063159,176
503,B19,2018,188902.08333333334,13600950,72
521,B2,2018,300361.8222222222,13516282,45
545,B20,2018,182917.97899159664,43534479,238
569,B21,2018,151110.785,30222157,200
593,B23,2018,155025.67466266867,103402125,667
617,B24,2018,189101.52222222224,68076548,360
641,B25,2018,205629.8125,39480924,192
665,B26,2018,252061.20976491863,139389849,553
689,B27,2018,178502.64217252395,55871327,313
713,B28,2018,276622.19329896907,107329411,388
737,B29,2018,388829.0078125,199080452,512
761,B3,2018,496405.64122137404,65029139,131
785,B30,2018,222176.8536036036,98646523,444
809,B31,2018,176571.87108013936,152028381,861
833,B32,2018,192408.41552511416,84274886,438
857,B33,2018,154539.8275862069,58261515,377
881,B34,2018,151513.42519685038,38484410,254
905,B35,2018,137068.57142857142,9594800,70
929,B36,2018,195328.39650872818,78326687,401
953,B37,2018,242218.93153526972,116749525,482
977,B38,2018,178368.98625429554,51905375,291
999,B4,2018,9660562.375,154568998,16
1001,B40,2018,9360300.0,9360300,1
1025,B42,2018,201027.97333333333,75385490,375
1049,B43,2018,193114.28604118995,84390943,437
1073,B44,2018,142758.89017341041,74091864,519
1097,B45,2018,277742.73291925463,134149740,483
1121,B46,2018,269100.23555555556,60547553,225
1145,B47,2018,344783.15168539324,61371401,178
1169,B48,2018,397770.3538461538,25855073,65
1193,B49,2018,333166.4379084967,50974465,153
1217,B5,2018,313242.7889447236,62335315,199
1241,B50,2018,303394.6875,43688835,144
1265,B6,2018,533159.4205607476,57048058,107
1289,B60,2018,300162.613963039,146179193,487
1313,B61,2018,266296.574,133148287,500
1337,B62,2018,245970.45386533666,98634152,401
1361,B63,2018,190247.38679245283,100831115,530
1385,B64,2018,188409.27572016462,45783454,243
1409,B65,2018,167150.9111111111,52652537,315
1433,B66,2018,185010.38602941178,50322825,272
1457,B67,2018,170611.10921501706,49989055,293
1481,B68,2018,164017.72431077695,65443072,399
1505,B69,2018,269342.9969879518,89421875,332
1529,B7,2018,304307.95454545453,13389550,44
1553,B70,2018,163393.676975945,47547560,291
1577,B71,2018,152842.15204678362,52272016,342
1601,B72,2018,303098.6033519553,54254650,179
1625,B73,2018,306153.14805194805,117868962,385
1649,B74,2018,394905.4767225326,212064241,537
1673,B75,2018,342134.20222222223,153960391,450
1697,B76,2018,347676.13783783786,128640171,370
1721,B77,2018,207337.26666666666,167943186,810
1745,B78,2018,240199.5675,96079827,400
1769,B79,2018,261108.87848101265,103138007,395
1793,B8,2018,148203.59848484848,39125750,264
1817,B80,2018,267595.6140350877,30505900,114
1841,B9,2018,130870.73619631902,21331930,163
1865,B90,2018,394941.7216828479,366110976,927
1889,B91,2018,483695.31238779175,269418289,557
1913,B92,2018,282019.3878504673,181056447,642
1937,B93,2018,546669.0953757225,189147507,346
1961,B94,2018,688100.0,75002900,109
1985,B95,2018,505845.5416666667,48561172,96
2009,B96,2018,360555.6701030928,34973900,97
2033,B97,2018,247740.08878504674,159049137,642
2057,B98,2018,260912.93306559572,194901961,747
2081,BA1,2018,683510.75,533138385,780
2105,BA10,2018,310673.5,18640410,60
2129,BA11,2018,350571.91818181815,231377466,660
2153,BA12,2018,307346.08447488584,134617585,438
2177,BA13,2018,247489.75837320575,103450719,418
2201,BA14,2018,273286.7767584098,268094328,981
2225,BA15,2018,382012.7888446215,95885210,251
2249,BA16,2018,231898.44594594595,51481455,222
2273,BA2,2018,530138.2240437159,582091770,1098
2297,BA20,2018,262446.44444444444,61412468,234
