,Area,Date,Mean,Price,Count
21,AL1,2016,601605.3705128205,469252189,780
45,AL10,2016,431954.1498929336,201722588,467
69,AL2,2016,475467.74418604653,184006017,387
93,AL3,2016,539112.2885375494,272790818,506
117,AL4,2016,556355.3111111111,225323901,405
141,AL5,2016,746716.4243421053,454003586,608
165,AL6,2016,688991.4782608695,158468040,230
189,AL7,2016,435565.79626168223,233027701,535
213,AL8,2016,468329.4579439252,100222504,214
237,AL9,2016,745549.8453608247,144636670,194
261,B1,2016,350697.80506329116,138525633,395
285,B10,2016,133230.89285714287,18652325,140
309,B11,2016,159071.05315614617,47880387,301
333,B12,2016,148926.81415929203,16828730,113
357,B13,2016,239172.28056112226,119346968,499
381,B14,2016,187441.44537815126,111527660,595
405,B15,2016,411433.78662420384,129190209,314
429,B16,2016,169206.83542319748,107953961,638
453,B17,2016,299727.76660341554,157956533,527
477,B18,2016,165987.34365325078,53613912,323
501,B19,2016,151481.32258064515,18783684,124
519,B2,2016,1071902.0322580645,33228963,31
543,B20,2016,171629.3475177305,48399476,282
567,B21,2016,131385.3188405797,27196761,207
591,B23,2016,147093.33008356547,105613011,718
615,B24,2016,177561.36244541485,81323104,458
639,B25,2016,137244.69273743016,24566800,179
663,B26,2016,161281.89516129033,79995820,496
687,B27,2016,163458.73333333334,61297025,375
711,B28,2016,213118.65656565657,105493735,495
735,B29,2016,215567.9765258216,137747937,639
759,B3,2016,349695.25,69939050,200
783,B30,2016,185380.2384219554,108076679,583
807,B31,2016,168655.21445221445,144706174,858
831,B32,2016,180586.9100917431,98419866,545
855,B33,2016,134573.00498753117,53963775,401
879,B34,2016,132278.54615384617,34392422,260
903,B35,2016,876797.4935064935,67513407,77
927,B36,2016,169278.77006507592,78037513,461
951,B37,2016,229080.1359832636,109500305,478
975,B38,2016,172026.0273556231,56596563,329
997,B4,2016,9541446.555555556,171746038,18
1023,B42,2016,158452.4585492228,61162649,386
1047,B43,2016,166852.9849137931,77419785,464
1071,B44,2016,135768.0315581854,68834392,507
1095,B45,2016,286214.2003710575,154269454,539
1119,B46,2016,271170.68403908797,83249400,307
1143,B47,2016,293924.36363636365,58197024,198
1167,B48,2016,324869.03007518797,43207581,133
1191,B49,2016,294680.0404040404,58346648,198
1215,B5,2016,204125.2435897436,47765307,234
1239,B50,2016,270048.86627906974,46448405,172
1263,B6,2016,245673.07086614173,31200480,127
1287,B60,2016,283205.8315412186,158028854,558
1311,B61,2016,233045.26470588235,103006007,442
1335,B62,2016,217063.345323741,90515415,417
1359,B63,2016,164064.73367697594,95485675,582
1383,B64,2016,146705.68085106384,34475835,235
1407,B65,2016,136367.55,46364967,340
1431,B66,2016,142085.27083333334,34100465,240
1455,B67,2016,150668.46401985112,60719391,403
1479,B68,2016,140663.28606965175,56546641,402
1503,B69,2016,205440.23884514437,78272731,381
1527,B7,2016,281631.2121212121,9293830,33
1551,B70,2016,189994.22894736842,72197807,380
1575,B71,2016,134231.80538922155,44833423,334
1599,B72,2016,327948.5048543689,67557392,206
1623,B73,2016,281136.5468409586,129041675,459
1647,B74,2016,345000.75167785236,205620448,596
1671,B75,2016,286365.6779661017,152060175,531
1695,B76,2016,303986.98518518516,123114729,405
1719,B77,2016,183744.2872454448,171433420,933
1743,B78,2016,244395.37939698494,97269361,398
1767,B79,2016,238439.20520231215,82499965,346
1791,B8,2016,153051.53429602887,42395275,277
1815,B80,2016,237281.4705882353,28236495,119
1839,B9,2016,113091.76300578035,19564875,173
1863,B90,2016,364787.0302743614,385579891,1057
1887,B91,2016,436541.1584158416,264543942,606
1911,B92,2016,258052.3120665742,186055717,721
1935,B93,2016,450137.810880829,173753195,386
1959,B94,2016,526413.75,58958340,112
1983,B95,2016,462786.8103448276,53683270,116
2007,B96,2016,343260.18518518517,37072100,108
2031,B97,2016,236371.71476510068,140877542,596
2055,B98,2016,243133.14572192513,181863593,748
2079,BA1,2016,594655.6975446428,532811505,896
2103,BA10,2016,284735.3220338983,16799384,59
2127,BA11,2016,270086.2426035503,182578300,676
2151,BA12,2016,269193.43873517786,136211880,506
2175,BA13,2016,242500.01022494887,118582505,489
2199,BA14,2016,239661.5092127303,286155842,1194
2223,BA15,2016,356289.27972027974,101898734,286
2247,BA16,2016,215553.8416988417,55828445,259
2271,BA2,2016,421029.11151870876,573862679,1363
2295,BA20,2016,206658.27898550723,57037685,276
2319,BA21,2016,192999.91711229947,144363938,748
2343,BA22,2016,293780.75910364144,104879731,357
2367,BA3,2016,254458.24556213018,172013774,676
2391,BA4,2016,322714.153638814,119726951,371
2415,BA5,2016,312124.505800464,134525662,431
2439,BA6,2016,282117.32732732734,93945070,333
2463,BA7,2016,250488.88888888888,20289600,81
2487,BA8,2016,301062.3595505618,26794550,89
2511,BA9,2016,239960.18719211823,48711918,203
2535,BB1,2016,174250.6459197787,125983217,723
2559,BB10,2016,111974.71186440678,79278096,708
2583,BB11,2016,96959.02722323049,53424424,551
2607,BB12,2016,129958.70234604106,88631835,682
2631,BB18,2016,138583.17486338798,50721442,366
2655,BB2,2016,140396.25263157894,106701152,760
2679,BB3,2016,117582.84146341463,77134344,656
2703,BB4,2016,153448.15252152522,124753348,813
2727,BB5,2016,127675.90716911765,138911387,1088
2751,BB6,2016,167531.43181818182,51599681,308
2775,BB7,2016,245053.05364511692,178153570,727
2799,BB8,2016,134879.4459770115,58672559,435
2823,BB9,2016,92841.8705882353,71024031,765
2847,BD1,2016,227239.0172413793,65899315,290
2871,BD10,2016,171182.15473887813,88501174,517
2895,BD11,2016,175592.86486486485,38981616,222
2919,BD12,2016,141103.41992882563,39650061,281
2943,BD13,2016,157306.86949152543,92811053,590
2967,BD14,2016,126023.33823529411,17139174,136
2991,BD15,2016,143849.42857142858,30208380,210
3015,BD16,2016,196384.1399176955,95442692,486
3039,BD17,2016,216769.03990024937,86924385,401
3063,BD18,2016,158865.77803203661,69424345,437
3087,BD19,2016,173636.8756097561,71191119,410
3111,BD2,2016,113747.75203252032,55963894,492
3135,BD20,2016,204593.2144736842,155490843,760
3159,BD21,2016,122602.39784946236,34206069,279
3183,BD22,2016,168395.6132879046,98848225,587
3207,BD23,2016,239634.43174603174,150969692,630
3231,BD24,2016,222510.7,26701284,120
3255,BD3,2016,75935.83913043479,17465243,230
3279,BD4,2016,118862.79822616409,53607122,451
3303,BD5,2016,87125.91739130435,20038961,230
3327,BD6,2016,116288.30260521043,58027863,499
3351,BD7,2016,101620.32522123893,45932387,452
3375,BD8,2016,114707.51666666666,20647353,180
3399,BD9,2016,136336.07142857142,30539280,224
3425,BH1,2016,222516.7751724138,161324662,725
3449,BH10,2016,258982.38005390836,96082463,371
3473,BH11,2016,233655.2757475083,70330238,301
3497,BH12,2016,253349.37872340425,178611312,705
3521,BH13,2016,696549.2889518414,245881899,353
3545,BH14,2016,458031.9726858877,301843070,659
3569,BH15,2016,260464.81389870436,221134627,849
3593,BH16,2016,274933.2972972973,71207724,259
3617,BH17,2016,250267.3978021978,113871666,455
3641,BH18,2016,391485.25688073394,85343786,218
