,Area,Date,Mean,Price,Count
16,AL1,2011,354363.7404092072,277112445,782
40,AL10,2011,213159.29829545456,75032073,352
64,AL2,2011,333013.6692015209,87582595,263
88,AL3,2011,415552.977827051,187414393,451
112,AL4,2011,388878.5223880597,156329166,402
136,AL5,2011,577775.0508130081,284265325,492
160,AL6,2011,529836.2747252748,96430202,182
184,AL7,2011,218820.58981233244,81620080,373
208,AL8,2011,362025.6993006993,51769675,143
232,AL9,2011,446442.90780141845,62948450,141
256,B1,2011,137247.04022988505,23880985,174
280,B10,2011,109648.25581395348,9429750,86
304,B11,2011,116965.79452054795,25615509,219
328,B12,2011,111019.64285714286,6217100,56
352,B13,2011,201319.87171052632,61201241,304
376,B14,2011,145071.1697612732,54691831,377
400,B15,2011,291797.5045454545,64195451,220
424,B16,2011,141068.2541436464,25533354,181
448,B17,2011,221793.16819571867,72526366,327
472,B18,2011,111749.88,13968735,125
496,B19,2011,93144.23076923077,4843500,52
514,B2,2011,129360.14285714286,905521,7
538,B20,2011,153191.45751633987,23438293,153
562,B21,2011,97884.09395973154,14584730,149
586,B23,2011,115826.48514851485,46793900,404
610,B24,2011,127891.33196721312,31205485,244
634,B25,2011,103105.04273504273,12063290,117
658,B26,2011,121633.58695652174,39166015,322
682,B27,2011,135430.98484848486,26815335,198
706,B28,2011,174837.55172413794,55773179,319
730,B29,2011,160060.25068870524,58101871,363
754,B3,2011,139685.40740740742,11314518,81
778,B30,2011,155441.50974025973,47875985,308
802,B31,2011,127211.85046728973,68058340,535
826,B32,2011,124136.43410852713,32027200,258
850,B33,2011,108197.21198156683,23478795,217
874,B34,2011,117920.40223463687,21107752,179
898,B35,2011,89914.83333333333,2697445,30
922,B36,2011,147516.093373494,48975343,332
946,B37,2011,123229.70781893004,29944819,243
970,B38,2011,138081.7,26235523,190
992,B4,2011,97483.33333333333,292450,3
1018,B42,2011,123190.63414634146,25254080,205
1042,B43,2011,145256.61920529802,43867499,302
1066,B44,2011,99392.96989966555,29718498,299
1090,B45,2011,193024.8589341693,61574930,319
1114,B46,2011,195900.115942029,27034216,138
1138,B47,2011,248712.05940594058,25119918,101
1162,B48,2011,257083.86956521738,29564645,115
1186,B49,2011,202398.0,20239800,100
1210,B5,2011,133318.77914110429,21730961,163
1234,B50,2011,210348.59375,13462310,64
1258,B6,2011,98702.8,5428654,55
1282,B60,2011,229013.75840978592,74887499,327
1306,B61,2011,183964.0870967742,57028867,310
1330,B62,2011,172457.92307692306,42597107,247
1354,B63,2011,138195.90887290167,57627694,417
1378,B64,2011,129423.14814814815,17472125,135
1402,B65,2011,109613.23,21922646,200
1426,B66,2011,107583.41891891892,15922346,148
1450,B67,2011,128502.11240310078,33153545,258
1474,B68,2011,120539.87050359712,33510084,278
1498,B69,2011,109261.06506849315,31904231,292
1522,B7,2011,78908.6,1183629,15
1546,B70,2011,100741.40828402367,17025298,169
1570,B71,2011,125238.68301886793,33188251,265
1594,B72,2011,221089.84962406015,29404950,133
1618,B73,2011,214203.99038461538,66831645,312
1642,B74,2011,289768.3607214429,144594412,499
1666,B75,2011,230889.6526946108,77117144,334
1690,B76,2011,206731.87984496125,53336825,258
1714,B77,2011,146663.99404761905,73918653,504
1738,B78,2011,161298.19753086418,39195462,243
1762,B79,2011,156432.1658986175,33945780,217
1786,B8,2011,109132.26872246696,24773025,227
1810,B80,2011,187884.4875,15030759,80
1834,B9,2011,105473.68217054264,13606105,129
1858,B90,2011,212909.82967959528,126255529,593
1882,B91,2011,300146.89285714284,159678147,532
1906,B92,2011,210838.5295404814,96353208,457
1930,B93,2011,361395.32608695654,83120925,230
1954,B94,2011,439918.84057971014,30354400,69
1978,B95,2011,335598.275862069,29197050,87
2002,B96,2011,247516.65432098764,20048849,81
2026,B97,2011,170656.72413793104,79184720,464
2050,B98,2011,144790.97180043385,66748638,461
2074,BA1,2011,331564.6661608498,218501115,659
2098,BA10,2011,214411.19512195123,8790859,41
2122,BA11,2011,210069.007518797,111756712,532
2146,BA12,2011,212017.00498753117,85018819,401
2170,BA13,2011,186169.04013377926,55664543,299
2194,BA14,2011,181972.6651234568,117918287,648
2218,BA15,2011,284305.0905511811,72213493,254
2242,BA16,2011,189838.32882882882,42144109,222
2266,BA2,2011,311072.5667011375,300807172,967
2290,BA20,2011,166108.06857142856,29068912,175
2314,BA21,2011,154306.52057613168,74992969,486
2338,BA22,2011,271614.47142857144,57039039,210
2362,BA3,2011,196821.0805194805,75776116,385
2386,BA4,2011,199810.51914893618,46955472,235
2410,BA5,2011,256920.9413919414,70139417,273
2434,BA6,2011,204587.93264248705,39485471,193
2458,BA7,2011,220012.07317073172,9020495,41
2482,BA8,2011,220867.3076923077,11485100,52
2506,BA9,2011,219387.0618556701,21280545,97
2530,BB1,2011,115195.1616766467,57712776,501
2554,BB10,2011,92997.31782945736,35989962,387
2578,BB11,2011,83247.07936507936,20978264,252
2602,BB12,2011,115578.73670886076,45653601,395
2626,BB18,2011,112915.54852320674,26760985,237
2650,BB2,2011,116463.1447368421,61958393,532
2674,BB3,2011,102905.5403726708,33135584,322
2698,BB4,2011,135401.66259168705,55379280,409
2722,BB5,2011,92839.05177514793,62759199,676
2746,BB6,2011,151858.76470588235,23234391,153
2770,BB7,2011,218538.8433048433,76707134,351
2794,BB8,2011,114088.02962962963,30803768,270
2818,BB9,2011,85072.98871331828,37687334,443
2842,BD1,2011,82644.0,4297488,52
2866,BD10,2011,133839.0701107011,36270388,271
2890,BD11,2011,157407.41666666666,18888890,120
2914,BD12,2011,111135.37593984962,14781005,133
2938,BD13,2011,128191.24796747968,31535047,246
2962,BD14,2011,128308.75,8724995,68
2986,BD15,2011,140265.19496855346,22302166,159
3010,BD16,2011,176301.29411764705,59942440,340
3034,BD17,2011,179219.87336244542,41041351,229
3058,BD18,2011,138903.585106383,39170811,282
3082,BD19,2011,140628.74803149607,35719702,254
3106,BD2,2011,101963.82894736843,30997004,304
3130,BD20,2011,170872.42986425338,75525614,442
3154,BD21,2011,88265.2,15005084,170
3178,BD22,2011,142549.94756554306,38060836,267
3202,BD23,2011,207450.37410071943,86506806,417
3226,BD24,2011,206180.83333333334,12370850,60
3250,BD3,2011,92344.6743119266,20131139,218
3274,BD4,2011,94460.68161434977,21064732,223
3298,BD5,2011,91930.37931034483,13329905,145
3322,BD6,2011,103200.83137254902,26316212,255
3346,BD7,2011,93448.54166666667,20184885,216
3370,BD8,2011,94244.96666666666,14136745,150
3394,BD9,2011,131292.51744186046,22582313,172
3420,BH1,2011,183790.0273556231,60466919,329
3444,BH10,2011,207088.23103448277,60055587,290
3468,BH11,2011,181005.96568627452,36925217,204
3492,BH12,2011,184961.52369668247,78053763,422
3516,BH13,2011,538352.3014184397,151815349,282
3540,BH14,2011,356528.55244755244,152950749,429
3564,BH15,2011,212690.8258064516,98901234,465
3588,BH16,2011,214466.49214659687,40963100,191
3612,BH17,2011,189956.22807017545,54137525,285
3636,BH18,2011,306391.5294117647,57295216,187
3660,BH19,2011,290000.28679245285,76850076,265
3684,BH2,2011,170134.03211009174,37089219,218
3708,BH20,2011,294041.4293193717,56161913,191
3732,BH21,2011,293572.858565737,147373575,502
3756,BH22,2011,269035.6368821293,141512745,526
3780,BH23,2011,285263.64285714284,271570988,952
3804,BH24,2011,358995.037037037,135700124,378
3828,BH25,2011,268718.6490825688,117161331,436
3852,BH3,2011,372095.3333333333,29023436,78
3876,BH31,2011,250057.15625,64014632,256
3900,BH4,2011,245676.6245210728,64121599,261
3924,BH5,2011,234073.66375545852,53602869,229
3948,BH6,2011,248810.84928229664,104002935,418
3972,BH7,2011,236653.40983606558,43307574,183
3996,BH8,2011,207994.07975460123,67806070,326
4020,BH9,2011,206853.6211764706,87912789,425
4044,BL0,2011,151130.0900900901,33550880,222
4068,BL1,2011,135647.07057057056,90340949,666
4092,BL2,2011,115637.12585812357,50533424,437
4116,BL3,2011,95562.38167938932,50074688,524
4140,BL4,2011,86873.53389830509,20502154,236
4164,BL5,2011,137143.75177304965,38674538,282
4188,BL6,2011,168380.39817629178,55397151,329
4212,BL7,2011,201802.4364640884,36526241,181
4236,BL8,2011,164801.8325892857,73831221,448
4260,BL9,2011,114075.398,57037699,500
4284,BN1,2011,281502.88432267884,369894790,1314
4308,BN10,2011,202704.05737704918,74189685,366
4332,BN11,2011,189534.3961661342,118648532,626
4356,BN12,2011,245686.5064935065,94589305,385
4380,BN13,2011,217640.8244803695,94238477,433
4404,BN14,2011,240812.31666666668,115589912,480
4428,BN15,2011,188050.74209245743,77288855,411
4452,BN16,2011,261705.64705882352,146816868,561
4476,BN17,2011,177082.3354978355,81812039,462
4500,BN18,2011,297970.3043478261,61679853,207
4524,BN2,2011,261791.09679821297,351585443,1343
4548,BN20,2011,265521.88279301743,106474275,401
4572,BN21,2011,185231.7611607143,82983829,448
4596,BN22,2011,171566.25379609544,79092043,461
4620,BN23,2011,193530.91609977325,85347134,441
4644,BN24,2011,217478.49132947976,37623779,173
4668,BN25,2011,236360.32860520095,99980419,423
4692,BN26,2011,216105.34513274336,48839808,226
4716,BN27,2011,219646.7340425532,103233965,470
4740,BN3,2011,299972.7957063712,433160717,1444
4765,BN41,2011,208509.18076923076,54212387,260
4789,BN42,2011,222828.24460431654,30973126,139
4813,BN43,2011,247634.8827586207,107721174,435
4837,BN44,2011,312607.2602739726,45640660,146
4861,BN45,2011,308316.6666666667,924950,3
4885,BN5,2011,405812.1951219512,33276600,82
4909,BN6,2011,366322.1836734694,89748935,245
4933,BN7,2011,345090.5506756757,102146803,296
4957,BN8,2011,392750.0443037975,62054507,158
4981,BN9,2011,181568.46153846153,23603900,130
5006,BR1,2011,329839.6453900709,232536950,705
5030,BR2,2011,351397.6568877551,275495763,784
5054,BR3,2011,340766.9960106383,256256781,752
5078,BR4,2011,349164.2213740458,91481026,262
5102,BR5,2011,291756.97033898305,137709290,472
5126,BR6,2011,357811.0776014109,202878881,567
5150,BR7,2011,465743.625,134134164,288
5174,BR8,2011,206114.4233870968,51116377,248
5198,BS1,2011,212756.05675675676,78719741,370
5222,BS10,2011,170749.2743902439,56005762,328
5246,BS11,2011,145637.2849162011,26069074,179
5273,BS13,2011,135558.87323943662,28874040,213
5297,BS14,2011,165573.73758865247,46691794,282
5321,BS15,2011,161638.23463687152,86799732,537
5345,BS16,2011,194152.62142857144,217450936,1120
5382,BS2,2011,157427.85507246378,32587566,207
5406,BS20,2011,226506.50272479563,166255773,734
5430,BS21,2011,225517.5744680851,84794608,376
5454,BS22,2011,164439.16967509026,91099300,554
5478,BS23,2011,158326.80303030304,73146983,462
5502,BS24,2011,188767.6768707483,55497697,294
5526,BS25,2011,273269.22222222225,31972499,117
5550,BS26,2011,281157.14285714284,9840500,35
5574,BS27,2011,239680.3879310345,27802925,116
5598,BS28,2011,342855.6857142857,11999949,35
5622,BS29,2011,195498.61111111112,7037950,36
5646,BS3,2011,184599.38569424965,131619362,713
5670,BS30,2011,202965.2054054054,75097126,370
5694,BS31,2011,225829.42386831276,54876550,243
5718,BS32,2011,218077.67816091955,75891032,348
5742,BS34,2011,172184.6917293233,68701692,399
5766,BS35,2011,258618.76763485477,62327123,241
5790,BS36,2011,261487.05652173914,60142023,230
5814,BS37,2011,182242.68410852714,94037225,516
5838,BS39,2011,225858.96756756757,41783909,185
5862,BS4,2011,161394.26449275363,89089634,552
5886,BS40,2011,364846.4926470588,49619123,136
5910,BS41,2011,290002.38095238095,24360200,84
5934,BS48,2011,279835.7751004016,69679108,249
5958,BS49,2011,237277.6524822695,33456149,141
5982,BS5,2011,134902.62857142856,80267064,595
6006,BS6,2011,307435.44153225806,152487979,496
6030,BS7,2011,224340.68464052287,137296499,612
6054,BS8,2011,324468.09156626504,134654258,415
6078,BS9,2011,341921.1286681716,151471060,443
6105,CA1,2011,116663.5623100304,38382312,329
6129,CA10,2011,214935.6992481203,28586448,133
6153,CA11,2011,200511.58181818182,55140685,275
6177,CA12,2011,289770.3247863248,33903128,117
6201,CA13,2011,214930.8383233533,35893450,167
6225,CA14,2011,118327.38987341772,46739319,395
6249,CA15,2011,108239.08235294117,18400644,170
6273,CA16,2011,172055.7142857143,12043900,70
6297,CA17,2011,191708.33333333334,10352250,54
6320,CA18,2011,169950.0,169950,1
6344,CA19,2011,268437.5,2147500,8
6368,CA2,2011,104495.04524886877,46186810,442
6392,CA20,2011,169170.4081632653,8289350,49
6416,CA21,2011,166983.33333333334,500950,3
6440,CA22,2011,116089.40860215054,10796315,93
6464,CA23,2011,97090.47619047618,2038900,21
6488,CA24,2011,112280.0,1571920,14
6512,CA25,2011,93885.73770491804,5727030,61
6536,CA26,2011,116864.64285714286,9816630,84
6560,CA27,2011,193962.95833333334,4655111,24
6584,CA28,2011,133454.43161094224,43906508,329
6608,CA3,2011,154812.7962085308,32665500,211
6632,CA4,2011,235050.76335877864,30791650,131
6656,CA5,2011,231951.23456790124,18788050,81
6680,CA6,2011,144558.82352941178,12287500,85
6704,CA7,2011,153626.4841269841,38713874,252
6728,CA8,2011,190143.74336283185,21486243,113
6752,CA9,2011,171838.2,4295955,25
6776,CB1,2011,313020.3522727273,220366328,704
6800,CB10,2011,330413.7818181818,54518274,165
6824,CB11,2011,341357.1503267974,104455288,306
6848,CB2,2011,411532.6341463415,84364190,205
6874,CB21,2011,303279.36666666664,63688667,210
6898,CB22,2011,341064.7457142857,119372661,350
6922,CB23,2011,264729.0883392226,149836664,566
6946,CB24,2011,262718.336996337,143444212,546
6970,CB25,2011,273874.0416666667,85448701,312
6994,CB3,2011,421897.6647058824,71722603,170
7018,CB4,2011,243778.1819787986,137978451,566
7042,CB5,2011,267583.04545454547,41207789,154
7066,CB6,2011,193597.1813643927,116351906,601
7090,CB7,2011,194458.1724137931,95867879,493
7114,CB8,2011,219799.0847107438,106382757,484
7138,CB9,2011,175418.90072639225,72448006,413
7159,CF1,2011,147500.0,147500,1
7179,CF10,2011,150825.69677419355,46755966,310
7203,CF11,2011,177318.59108527133,91496393,516
7227,CF14,2011,202837.32933478736,186001831,917
7251,CF15,2011,235762.4812030075,62712820,266
7291,CF23,2011,221722.4586330935,123277687,556
7315,CF24,2011,144132.49603174604,72642778,504
7339,CF3,2011,151180.92857142858,59262924,392
7365,CF31,2011,142459.2658730159,71799470,504
7389,CF32,2011,127014.80194805194,39120559,308
7413,CF33,2011,108574.02325581395,14006049,129
7437,CF34,2011,90832.45454545454,14987355,165
7461,CF35,2011,171748.0267857143,38471558,224
7485,CF36,2011,201598.7766990291,41529348,206
7509,CF37,2011,97227.07288629738,33348886,343
7533,CF38,2011,142583.59545454546,31368391,220
7557,CF39,2011,92983.35059760956,23338821,251
7592,CF40,2011,74529.7094972067,13340818,179
7616,CF41,2011,71561.79090909091,7871797,110
7640,CF42,2011,65811.27819548872,8752900,133
7664,CF43,2011,51200.0,5273600,103
7688,CF44,2011,101471.00251889169,40283988,397
7712,CF45,2011,71800.0988372093,12349617,172
7736,CF46,2011,110913.01418439717,15638735,141
7760,CF47,2011,104713.83950617284,16963642,162
7784,CF48,2011,97637.44736842105,18551115,190
7808,CF5,2011,176026.23850574714,122514262,696
7832,CF61,2011,200695.04395604396,18263249,91
7856,CF62,2011,162272.83664459162,73509595,453
7880,CF63,2011,119227.80373831776,25514750,214
7904,CF64,2011,229460.9107505071,113124229,493
7931,CF71,2011,347697.1149425287,30249649,87
7955,CF72,2011,162168.15311004786,67786288,418
7985,CF81,2011,80610.18518518518,8705900,108
8009,CF82,2011,127526.81696428571,28566007,224
8033,CF83,2011,133616.3540925267,75092391,562
8058,CH1,2011,157867.98694516972,60463439,383
8082,CH2,2011,192136.5975,76854639,400
8106,CH3,2011,234218.01643835616,85489576,365
8130,CH4,2011,204360.1836158192,72343505,354
8154,CH41,2011,69985.66666666667,7558452,108
8178,CH42,2011,107593.88560885609,29157943,271
8202,CH43,2011,158516.74785100287,55322345,349
8226,CH44,2011,95052.17272727273,20911478,220
8250,CH45,2011,141856.00613496933,46245058,326
8274,CH46,2011,120947.31441048035,27696935,229
8298,CH47,2011,224108.8064516129,34736865,155
8322,CH48,2011,288434.29824561405,65763020,228
8346,CH49,2011,144687.10175438598,41235824,285
8370,CH5,2011,142135.25319693095,55574884,391
8394,CH6,2011,134573.66129032258,16687134,124
8418,CH60,2011,302587.472826087,55676095,184
8442,CH61,2011,189888.00448430493,42345025,223
8466,CH62,2011,141795.8480243161,46650834,329
8490,CH63,2011,165534.0534591195,52639829,318
8514,CH64,2011,244999.55665024632,49734910,203
8538,CH65,2011,113176.84265734266,32368577,286
8562,CH66,2011,154385.7711864407,54652563,354
8586,CH7,2011,173734.9489361702,81655426,470
