,Area,Date,Mean,Price,Count
22,AL1,2017,603638.935828877,451521924,748
46,AL10,2017,341322.0098280098,138918058,407
70,AL2,2017,503288.7993421053,152999795,304
94,AL3,2017,573062.9612903226,266474277,465
118,AL4,2017,557120.6147757256,211148713,379
142,AL5,2017,818437.2319391635,430497984,526
166,AL6,2017,688077.1300448431,153441200,223
190,AL7,2017,439701.37958532694,275692765,627
214,AL8,2017,554484.1391752578,107569923,194
238,AL9,2017,639161.981707317,104822565,164
262,B1,2017,271547.8645038168,142291081,524
286,B10,2017,123178.1875,15766808,128
310,B11,2017,213115.8005780347,73738067,346
334,B12,2017,275230.74740484427,79541686,289
358,B13,2017,256699.04054054053,132970103,518
382,B14,2017,195948.02,127366213,650
406,B15,2017,322270.7184750733,109894315,341
430,B16,2017,261692.79445727484,113312980,433
454,B17,2017,346786.5226781857,160562160,463
478,B18,2017,246118.46759259258,53161589,216
502,B19,2017,239757.4918918919,44355136,185
520,B2,2017,2084191.3103448276,60441548,29
544,B20,2017,181951.63003663003,49672795,273
568,B21,2017,132225.98326359832,31602010,239
592,B23,2017,170775.09530583216,120054892,703
616,B24,2017,250378.93363844394,109415594,437
640,B25,2017,139209.50980392157,28398740,204
664,B26,2017,231329.3007246377,127693774,552
688,B27,2017,172671.06542056074,55427412,321
712,B28,2017,225816.9608294931,98004561,434
736,B29,2017,244016.6416,152510401,625
760,B3,2017,1122418.5644171778,182954226,163
784,B30,2017,214786.12639405206,115554936,538
808,B31,2017,172958.4325726141,166731929,964
832,B32,2017,184479.95726495725,107920775,585
856,B33,2017,146881.72836538462,61102799,416
880,B34,2017,146728.90410958903,42844840,292
904,B35,2017,122070.09375,7812486,64
928,B36,2017,192069.345323741,80092917,417
952,B37,2017,484299.78681318683,220356403,455
976,B38,2017,184120.569579288,56893256,309
998,B4,2017,5937221.636363637,261237752,44
1000,B40,2017,31500000.0,31500000,1
1024,B42,2017,187271.8439716312,79215990,423
1048,B43,2017,185228.2171189979,88724316,479
1072,B44,2017,140502.43951612903,69689210,496
1096,B45,2017,268867.5934065934,146801706,546
1120,B46,2017,280170.61003861006,72564188,259
1144,B47,2017,319815.81920903956,56607400,177
1168,B48,2017,326262.2254901961,33278747,102
1192,B49,2017,358958.73577235773,88303849,246
1216,B5,2017,443613.93119266053,96707837,218
1240,B50,2017,320784.41363636364,70572571,220
1264,B6,2017,313322.57352941175,42611870,136
