,Area,Date,Mean,Price,Count
1,AL1,1996,98840.4648212226,85694683,867
25,AL10,1996,62053.04177545692,23766315,383
49,AL2,1996,95098.41666666667,39941335,420
73,AL3,1996,111350.75342465754,65028840,584
97,AL4,1996,102198.39321357285,51201395,501
121,AL5,1996,144441.6400541272,106742372,739
145,AL6,1996,175323.4090909091,38571150,220
169,AL7,1996,68093.69601677149,32480693,477
193,AL8,1996,108153.02970297029,32770368,303
217,AL9,1996,133987.53623188406,27735420,207
241,B1,1996,50035.71428571428,1401000,28
265,B10,1996,35135.42272727273,7729793,220
289,B11,1996,37146.6004784689,15527279,418
313,B12,1996,36807.10526315789,4895345,133
337,B13,1996,65309.29158110883,31805625,487
361,B14,1996,50578.90291262136,31257762,618
385,B15,1996,95668.12290502794,17124594,179
409,B16,1996,70011.55591054313,21913617,313
433,B17,1996,74651.2424778761,42177952,565
457,B18,1996,28222.5,2540025,90
481,B19,1996,32856.18556701031,3187050,97
523,B20,1996,48271.252100840335,17232837,357
547,B21,1996,29577.24647887324,8399938,284
571,B23,1996,42652.596066565806,28193366,661
595,B24,1996,50745.102040816324,19892080,392
619,B25,1996,41280.415384615386,8049681,195
643,B26,1996,49649.205081669694,27356712,551
667,B27,1996,48249.710743801654,17514645,363
691,B28,1996,63103.53036437247,31173144,494
715,B29,1996,50739.27164685908,29885431,589
739,B3,1996,63591.666666666664,953875,15
763,B30,1996,51581.88039215686,26306759,510
787,B31,1996,53347.70154373928,31101710,583
811,B32,1996,48809.59574468085,20646459,423
835,B33,1996,39615.523952095806,13231585,334
859,B34,1996,46050.28571428572,8703504,189
883,B35,1996,38930.93220338983,2296925,59
907,B36,1996,52904.548223350255,20844392,394
931,B37,1996,45733.05325443787,15457772,338
955,B38,1996,54105.36448598131,11578548,214
1003,B42,1996,45973.232300884956,20779901,452
1027,B43,1996,55543.53964194373,21717524,391
1051,B44,1996,40890.962025316454,16151930,395
1075,B45,1996,79191.65508684864,31914237,403
1099,B46,1996,69467.40384615384,18061525,260
1123,B47,1996,89827.6081081081,13294486,148
1147,B48,1996,84899.44444444444,6876855,81
1171,B49,1996,88060.04484304933,19637390,223
1195,B5,1996,62116.103896103894,4782940,77
1219,B50,1996,83456.93913043478,9597548,115
1243,B6,1996,32061.308139534885,5514545,172
1267,B60,1996,84111.8492063492,42392372,504
1291,B61,1996,73623.34565217391,33866739,460
1315,B62,1996,65793.76470588235,27962350,425
1339,B63,1996,51923.235185185185,28038547,540
1363,B64,1996,43660.23809523809,7334920,168
1387,B65,1996,48477.616197183095,13767643,284
1411,B66,1996,32515.911917098445,6275571,193
1435,B67,1996,41780.1186440678,17255189,413
1459,B68,1996,48412.13687150838,17331545,358
1483,B69,1996,42826.11351351351,15845662,370
1507,B7,1996,27040.76923076923,351530,13
