,Area,Date,Mean,Price,Count
11,AL1,2006,313073.0514851485,316203782,1010
35,AL10,2006,215663.34807417975,151180007,701
59,AL2,2006,300445.8910891089,182070210,606
83,AL3,2006,321008.1488764045,228557802,712
107,AL4,2006,304319.88255033555,181374650,596
131,AL5,2006,440933.6206060606,363770237,825
155,AL6,2006,496582.4516129032,123152448,248
179,AL7,2006,205481.0433295325,180206875,877
203,AL8,2006,300635.9739130435,69146274,230
227,AL9,2006,364332.3712871287,73595139,202
251,B1,2006,184077.6211764706,78232989,425
275,B10,2006,124426.37366548042,34963811,281
299,B11,2006,132009.95638629285,84750392,642
323,B12,2006,142771.51875,45686886,320
347,B13,2006,198830.39393939395,137789463,693
371,B14,2006,150828.52972258916,114177197,757
395,B15,2006,316312.9418604651,81608739,258
419,B16,2006,173787.8112033195,83765725,482
443,B17,2006,227927.6271721959,144278188,633
467,B18,2006,142595.18325791854,63027071,442
491,B19,2006,109908.91111111111,14837703,135
511,B2,2006,96655.33333333333,579932,6
533,B20,2006,151045.31542056074,64647395,428
557,B21,2006,104351.67821782178,42158078,404
581,B23,2006,120747.26530612246,112415704,931
605,B24,2006,139973.0064,87483129,625
629,B25,2006,122452.59666666666,36735779,300
653,B26,2006,137960.58146487296,92295629,669
677,B27,2006,143309.32789855072,79106749,552
701,B28,2006,177809.92238267147,98506697,554
725,B29,2006,160841.2810880829,124169469,772
749,B3,2006,159247.73394495412,17358003,109
773,B30,2006,158251.91839378237,122170481,772
797,B31,2006,135052.74340770792,133162005,986
821,B32,2006,136266.4965397924,78762035,578
845,B33,2006,114429.29166666667,65911272,576
869,B34,2006,129778.77461139897,50094607,386
893,B35,2006,93671.2048192771,15549420,166
917,B36,2006,147611.34710743802,89304865,605
941,B37,2006,127705.6171875,81731595,640
965,B38,2006,133387.4927536232,46018685,345
987,B4,2006,179500.0,897500,5
1013,B42,2006,131052.12006861063,76403386,583
1037,B43,2006,160062.2,92836076,580
1061,B44,2006,113120.21935483871,87668170,775
1085,B45,2006,183480.15384615384,116876858,637
