,Area,Date,Mean,Price,Count
17,AL1,2012,395411.6135057471,275206483,696
41,AL10,2012,217023.58843537414,63804935,294
65,AL2,2012,343491.878125,109917401,320
89,AL3,2012,419699.8617710583,194321036,463
113,AL4,2012,377926.0633608815,137187161,363
137,AL5,2012,606992.2661448141,310173048,511
161,AL6,2012,484691.4315068493,70764949,146
185,AL7,2012,215378.2785714286,90458877,420
209,AL8,2012,350719.71223021584,48750040,139
233,AL9,2012,488591.452991453,57165200,117
257,B1,2012,127698.44943820225,22730324,178
281,B10,2012,105473.25581395348,9070700,86
305,B11,2012,115941.71014492754,23999934,207
329,B12,2012,116564.28571428571,5711650,49
353,B13,2012,198555.34421364986,66913151,337
377,B14,2012,146903.2372881356,60671037,413
401,B15,2012,237578.02564102566,46327715,195
425,B16,2012,145113.6891891892,21476826,148
449,B17,2012,244440.04658385093,78709695,322
473,B18,2012,117531.92307692308,12223320,104
497,B19,2012,98557.23404255319,4632190,47
515,B2,2012,114541.66666666667,1374500,12
539,B20,2012,148981.96,22347294,150
563,B21,2012,94513.33333333333,11625140,123
587,B23,2012,109519.02798982189,43040978,393
611,B24,2012,137183.22178988328,35256088,257
635,B25,2012,105077.32323232324,10402655,99
659,B26,2012,126025.86363636363,41588535,330
683,B27,2012,129680.87962962964,28011070,216
707,B28,2012,172358.98692810457,52741850,306
731,B29,2012,158351.6312849162,56689884,358
755,B3,2012,139544.76,6977238,50
779,B30,2012,151840.6450617284,49196369,324
803,B31,2012,137042.16991150443,77428826,565
827,B32,2012,126068.6462585034,37064182,294
851,B33,2012,104788.71291866028,21900841,209
875,B34,2012,120225.86956521739,24886755,207
899,B35,2012,93683.33333333333,3934700,42
923,B36,2012,152383.73578595318,45562737,299
947,B37,2012,123026.1761904762,25835497,210
971,B38,2012,147940.08241758242,26925095,182
993,B4,2012,165614.5,662458,4
1019,B42,2012,120455.94685990339,24934381,207
1043,B43,2012,142892.66159695818,37580770,263
1067,B44,2012,101239.0612244898,29764284,294
1091,B45,2012,209310.04057971016,72211964,345
1115,B46,2012,189255.93333333332,25549551,135
1139,B47,2012,252962.74626865672,33897008,134
1163,B48,2012,259697.5,21295195,82
1187,B49,2012,256604.71698113208,27200100,106
1211,B5,2012,123550.2,17297028,140
