,Area,Date,Mean,Price,Count
14,AL1,2009,322755.8700361011,178806752,554
38,AL10,2009,196020.75899280576,54493771,278
62,AL2,2009,304360.49013157893,92525589,304
86,AL3,2009,357621.3597122302,149128107,417
110,AL4,2009,323994.9837398374,119554149,369
134,AL5,2009,524396.7079831932,249612833,476
158,AL6,2009,420208.0258064516,65132244,155
182,AL7,2009,192740.10220994474,69771917,362
206,AL8,2009,312539.0388888889,56257027,180
230,AL9,2009,475888.3228346457,60437817,127
254,B1,2009,136730.21875,17501468,128
278,B10,2009,123365.84158415842,12459950,101
302,B11,2009,118976.11020408163,29149147,245
326,B12,2009,121594.93548387097,7538886,62
350,B13,2009,194763.69774011298,68946349,354
374,B14,2009,143133.58222222223,64410112,450
398,B15,2009,234326.21341463414,38429499,164
422,B16,2009,142515.99567099568,32921195,231
446,B17,2009,212279.37328767125,61985577,292
470,B18,2009,106631.97674418605,9170350,86
494,B19,2009,98339.28571428571,4130250,42
536,B20,2009,146840.36111111112,21145012,144
560,B21,2009,104423.25581395348,13470600,129
584,B23,2009,114311.15454545454,37722681,330
608,B24,2009,131054.10931174089,32370365,247
632,B25,2009,108852.38095238095,13715400,126
656,B26,2009,122641.26732673268,37160304,303
680,B27,2009,124293.99567099568,28711913,231
704,B28,2009,166493.16923076924,54110280,325
728,B29,2009,152755.96467391305,56214195,368
752,B3,2009,147089.5483870968,9119552,62
776,B30,2009,155544.72972972973,57551550,370
800,B31,2009,124992.0364806867,58246289,466
824,B32,2009,125614.62357414448,33036646,263
848,B33,2009,106513.3112244898,20876609,196
872,B34,2009,114858.61184210527,17458509,152
896,B35,2009,95186.20689655172,2760400,29
920,B36,2009,140246.552,35061638,250
944,B37,2009,124549.29875518673,30016381,241
968,B38,2009,117830.15873015873,22269900,189
990,B4,2009,83833.90909090909,5533038,66
1016,B42,2009,124770.87830687831,23581696,189
1040,B43,2009,155207.97026022305,41750944,269
1064,B44,2009,100531.77777777778,22619650,225
1088,B45,2009,203848.11320754717,43215800,212
1112,B46,2009,198229.00862068965,22994565,116
1136,B47,2009,211687.66981132075,22438893,106
1160,B48,2009,281319.2247191011,25037411,89
1184,B49,2009,234489.6739130435,21573050,92
1208,B5,2009,118404.6509009009,52571665,444
1232,B50,2009,206880.9090909091,13654140,66
1256,B6,2009,98760.76923076923,6419450,65
1280,B60,2009,199275.40184049078,64963781,326
1304,B61,2009,178412.18681318683,48706527,273
1328,B62,2009,166226.14207650273,30419384,183
1352,B63,2009,135899.016,50962131,375
1376,B64,2009,121825.6914893617,11451615,94
1400,B65,2009,120956.57777777778,21772184,180
1424,B66,2009,125394.67441860466,16175913,129
1448,B67,2009,127893.0172413793,29671180,232
1472,B68,2009,121677.78656126482,30784480,253
1496,B69,2009,105929.57004830918,21927421,207
1520,B7,2009,85222.22222222222,1534000,18
1544,B70,2009,104561.85635359117,18925696,181
1568,B71,2009,119746.98484848485,23709903,198
1592,B72,2009,216307.70967741936,33527695,155
1616,B73,2009,215604.16334661355,54116645,251
1640,B74,2009,266823.6719160105,101659819,381
1664,B75,2009,234553.54179566563,75760794,323
1688,B76,2009,189700.29787234042,44579570,235
1712,B77,2009,144679.37672583826,73352444,507
1736,B78,2009,174957.35582822087,28518049,163
1760,B79,2009,174299.73333333334,33988448,195
1784,B8,2009,104681.69273743017,18738023,179
1808,B80,2009,162767.13698630137,11882001,73
1832,B9,2009,103506.14018691589,11075157,107
1856,B90,2009,193756.74480712166,130592046,674
1880,B91,2009,295884.64090909093,130189242,440
1904,B92,2009,191261.25814536342,76313242,399
1928,B93,2009,341332.8226415094,90453198,265
1952,B94,2009,322348.44615384616,20952649,65
1976,B95,2009,291874.0,27728030,95
2000,B96,2009,237334.01666666666,14240041,60
2024,B97,2009,173658.87209302327,59738652,344
2048,B98,2009,136996.9106699752,55209755,403
2072,BA1,2009,300932.75083056476,181161516,602
2096,BA10,2009,231228.78787878787,7630550,33
