AL1,309357.2715974538
AL10,197335.33574128518
AL2,281076.60612605535
AL3,323014.8074106945
AL4,293761.934656063
AL5,437447.95604836015
AL6,419455.03773974016
AL7,204302.8080936056
AL8,277310.7808404009
AL9,376447.3509012092
B1,222874.72592133787
B10,90060.9037100579
B11,98773.39668279198
B12,116926.93497069494
B13,162297.4714218969
B14,123809.09948634767
B15,257311.81056782336
B16,152520.81167507244
B17,193795.71082771505
B18,118559.8664043082
B19,96349.04926108374
B2,548141.4811912226
B20,113980.16346403531
B21,80444.84522641245
B23,97105.80557810506
B24,117202.17682651494
B25,96263.6126615471
B26,118968.11999363007
B27,112337.09848739496
B28,146574.48243601058
B29,139024.78833529126
B3,286000.7544075441
B30,131790.33614119535
B31,115962.18816254417
B32,113388.36626331949
B33,92970.11000311624
B34,105043.45253110619
B35,121262.64219041693
B36,125289.61420233463
B37,154092.20905539417
B38,120969.73126655242
B4,1963766.5375302664
B40,20430150.0
B42,106735.64801913279
B43,129578.28198019802
B44,91057.33553070761
B45,166056.99638398623
B46,170360.47338884865
B47,207969.93767489187
B48,227102.78070548235
B49,202846.0435885609
B5,170733.3720040282
B50,191246.628444726
B6,110119.46578171091
B60,190397.71314927467
B61,165729.80904432258
B62,144787.289713397
B63,116812.20694278904
B64,110170.26694840641
B65,99038.63475862068
B66,101586.0694489204
B67,99189.7216234586
B68,104935.08988424762
B69,124514.9266508705
B7,128229.90867579909
B70,99632.5940564636
B71,101325.65191956125
B72,195750.72696605523
B73,189786.11999251216
B74,256447.39854828952
B75,201276.61348841246
B76,171567.6399484061
B77,122210.49759539755
B78,144015.2993369119
B79,148304.82367404285
B8,86225.05339435545
B80,167204.47027914613
B9,82590.79211956522
B90,201078.62907852276
B91,271466.88201847905
B92,174335.75067665387
B93,314676.630264176
B94,350061.9831557236
B95,280169.0351826793
B96,232472.96474086662
B97,154730.80336653636
B98,132087.66503321353
BA1,294622.09950391145
BA10,185209.84925276155
BA11,166714.5835579515
BA12,176844.09496772187
BA13,153440.42457634193
BA14,158844.3045066045
BA15,238455.0662613034
BA16,148941.7038417896
BA2,251721.08236632537
BA20,149991.28742025193
BA21,130613.66828975052
BA22,198902.94699695543
BA3,165370.78602320314
BA4,176667.20241691842
BA5,199242.3933887916
BA6,178481.5361445783
BA7,175236.02301150575
BA8,190168.4552238806
BA9,176431.57639751554
BB1,92207.25600805871
BB10,72553.21551998304
BB11,61551.95831602271
BB12,92102.77723830992
BB18,95467.6973464021
BB2,94154.5151552489
BB3,80662.51987032586
BB4,114266.69659708321
BB5,75268.70271962162
BB6,117392.04259690453
BB7,166119.55785261755
BB8,93767.18970615412
BB9,68060.27165553765
BD1,136676.28307588986
BD10,115350.99056301983
BD11,129428.69157237612
BD12,88551.91453109849
BD13,108109.43731343283
BD14,99909.94327251996
BD15,107249.04071542824
BD16,145195.77175596158
BD17,150375.2469809568
BD18,110952.08356692361
BD19,122329.74956343092
BD2,87638.2764221201
BD20,137638.0635479083
BD21,72080.46543196886
BD22,112416.20286163758
BD23,172500.628713575
BD24,173174.74854707476
BD3,59819.06783511847
BD4,83738.73467002338
BD5,63748.47717109908
BD6,87895.69724699495
BD7,70605.93013546112
BD8,69638.80181905218
BD9,94239.90936803845
BD99,4660000.0
BH1,151912.1356032277
BH10,171943.74087796116
BH11,156094.48825460975
BH12,152855.87349879905
BH13,454797.27865875803
BH14,286863.87460577773
BH15,189197.98536784423
BH16,180892.5978779025
BH17,148861.19864395834
BH18,263169.6561371841
BH19,218413.33568166994
BH2,164537.88887515452
BH20,225111.94772136307
BH21,247648.30365957448
BH22,232316.68559618443
BH23,230425.72132240218
BH24,287575.22774309415
BH25,217022.57829984545
BH3,266457.01780315756
BH31,206712.61279237334
BH4,197798.77730556738
BH5,170871.09778745845
BH6,200979.91713483146
BH7,193298.42086811352
BH8,173964.35026068115
BH9,165304.72361873166
BL0,132422.67728989612
BL1,120229.47388476194
BL2,96554.52311998053
BL3,81747.32367807154
BL4,79442.72488271222
BL5,121834.39084158416
BL6,130544.79503244573
BL7,166533.9279457474
BL8,129164.07869716048
BL9,106386.8619452027
BN1,231011.90798955143
BN10,165028.44380514
BN11,156709.7651543557
BN12,213691.30704504208
BN13,183632.0986358165
BN14,188302.40402843602
BN15,157239.51988346686
BN16,224466.1801773106
BN17,150728.88246051536
BN18,250809.64610778444
BN2,201858.87874244992
BN20,214095.70662037403
BN21,154993.752
BN22,141348.75677506774
BN23,173143.0146111111
BN24,181151.9450232409
BN25,190029.99892311005
BN26,184571.16951587415
BN27,183835.50021453088
BN3,221615.29965184056
BN4,109000.0
BN41,168016.1917822726
BN42,193631.9115995116
BN43,212823.3494702386
BN44,239867.09431578947
BN45,387897.354368932
BN5,309278.7142433234
BN6,303669.22047040577
BN7,267295.9654455987
BN8,296952.6294882914
BN9,161871.59969924812
BN99,10930000.0
BR1,275310.2399984265
BR2,283662.8862275449
BR3,280827.68709021027
BR4,300530.2998616874
BR5,225406.40722228462
BR6,305160.1427993118
BR7,372413.16261330975
BR8,198780.10672290387
BS1,318504.9533512751
BS10,155993.30084833436
BS11,144141.11554122836
BS12,204695.33333333334
BS13,131727.85411319736
BS14,148472.0068278805
BS15,141207.35565047344
BS16,176657.31124136262
BS17,251140.0
BS18,337000.0
BS19,258333.33333333334
BS2,179726.6523786329
BS20,217197.91076248314
BS21,182952.08248163527
BS22,132183.09760243335
BS23,136053.93885124233
BS24,165813.1329489158
BS25,246253.41939037826
BS26,219314.75385380408
BS27,191475.7519509476
BS28,305334.2391125719
