LADC,index,index_scaled,PC,PC_O,PC_1
E01008183,"7,696",3,NE42 5NR,NE42,5NR
E01008189,"4,630",2,NE9  6LG,NE9, 6LG
E01008200,"27,702",9,NE41 8JD,NE41,8JD
E01008215,981,1,NE30 1QY,NE30,1QY
E01008226,"10,228",4,DH9  0SA,DH9, 0SA
E01008248,"28,146",9,NE15 8NN,NE15,8NN
E01008259,"1,300",1,DH98 1AA,DH98,1AA
E01008259,"1,300",1,NE85 2ZA,NE85,2ZA
E01008259,"1,300",1,NE82 6XX,NE82,6XX
E01008259,"1,300",1,NE83 7QQ,NE83,7QQ
E01008259,"1,300",1,NE88 1AA,NE88,1AA
E01008259,"1,300",1,NE92 1AA,NE92,1AA
E01008259,"1,300",1,NE98 1AF,NE98,1AF
E01008290,"1,115",1,NE4  8NR,NE4, 8NR
E01008293,"16,311",5,NE3  2ER,NE3, 2ER
E01008293,"16,311",5,NE5  4SL,NE5, 4SL
E01008301,"4,728",2,NE6  2SX,NE6, 2SX
E01008303,726,1,NE7  7JJ,NE7, 7JJ
E01008306,"13,282",5,NE13 7AB,NE13,7AB
E01008321,"29,949",10,NE1  1HJ,NE1, 1HJ
E01008321,"29,949",10,NE2  3RG,NE2, 3RG
E01008361,"11,878",4,NE33 1TP,NE33,1TP
E01008365,"31,586",10,NE99 1EH,NE99,1EH
E01008436,"1,639",1,NE28 6DA,NE28,6DA
E01008458,"23,053",8,NE20 9BY,NE20,9BY
E01008469,"25,026",8,NE12 8AA,NE12,8AA
E01008475,"30,184",10,NE23 7LG,NE23,7LG
E01008481,"6,179",2,NE29 7JZ,NE29,7JZ
E01008488,"8,376",3,NE27 0BL,NE27,0BL
E01008491,"5,569",2,NE25 8US,NE25,8US
E01008491,"5,569",2,NE26 1ET,NE26,1ET
E01008590,"4,885",2,NE34 0BU,NE34,0BU
E01008600,"1,906",1,NE32 3AB,NE32,3AB
E01008604,"2,153",1,NE31 1EJ,NE31,1EJ
E01008604,"2,153",1,NE35 9WX,NE35,9WX
E01008604,"2,153",1,NE36 0WB,NE36,0WB
E01008616,"28,307",9,SR6  7RF,SR6, 7RF
E01008617,"28,214",9,SR5  1RP,SR5, 1RP
E01008629,"18,353",6,NE37 3JB,NE37,3JB
E01008700,"5,682",2,SR1  3AB,SR1, 3AB
E01008700,"5,682",2,SR4  6AA,SR4, 6AA
E01008706,"7,179",3,SR3  1XX,SR3, 1XX
E01008707,"13,585",5,SR2  7PS,SR2, 7PS
E01008714,"2,366",1,DH5  8AG,DH5, 8AG
E01008720,"7,561",3,DH4  4EH,DH4, 4EH
E01008736,205,1,SR9  9AD,SR9, 9AD
E01008746,987,1,SR7  9TW,SR7, 9TW
E01008762,"1,971",1,SR43 1ZZ,SR43,1ZZ
E01008848,"19,837",7,NE89 1AA,NE89,1AA
E01008881,"4,037",2,B25  8RA,B25, 8RA
E01008881,"4,037",2,B26  1TD,B26, 1TD
E01008884,"3,591",2,B11  2AZ,B11, 2AZ
E01008889,"3,912",2,B10  0HD,B10, 0HD
E01008889,"3,912",2,B12  0BZ,B12, 0BZ
E01008889,"3,912",2,B27  6PH,B27, 6PH
E01008899,371,1,B6   5SR,B6,  5SR
E01008905,"1,087",1,B19  1BB,B19, 1BB
E01008910,668,1,B1   3PF,B1,  3PF
E01008910,668,1,B24  8WD,B24, 8WD
E01008910,668,1,B2   2FU,B2,  2FU
E01008910,668,1,B3   1AH,B3,  1AH
E01008910,668,1,B4   6AE,B4,  6AE
E01008910,668,1,B5   7WU,B5,  7WU
E01008910,668,1,B7   5PB,B7,  5PB
E01008910,668,1,B99  1BR,B99, 1BR
E01008917,"15,844",5,B32  3PW,B32, 3PW
E01008919,"5,660",2,B29  5UP,B29, 5UP
E01008921,"7,852",3,B62  0EL,B62, 0EL
E01008924,"9,587",3,B31  1XA,B31, 1XA
E01008932,"3,000",1,B13  0HH,B13, 0HH
E01008937,"4,844",2,B14  4DZ,B14, 4DZ
E01008940,"1,508",1,B28  0QZ,B28, 0QZ
E01008949,"22,004",7,B47  5NL,B47, 5NL
E01008950,"9,577",3,B30  1LT,B30, 1LT
E01008961,"11,516",4,B38  9SB,B38, 9SB
E01008986,"7,045",3,B16  0RP,B16, 0RP
E01008988,"8,073",3,B15  3EZ,B15, 3EZ
E01008989,"9,142",3,B17  8NA,B17, 8NA
E01009000,"1,655",1,B23  7PE,B23, 7PE
E01009003,"9,187",3,B72  1AD,B72, 1AD
E01009047,"1,837",1,B20  3SY,B20, 3SY
E01009051,"2,207",1,B42  2SS,B42, 2SS
E01009079,566,1,B36  8TS,B36, 8TS
E01009082,"3,809",2,B8   2SB,B8,  2SB
E01009087,"10,604",4,B34  6AT,B34, 6AT
E01009091,"4,704",2,B33  9JH,B33, 9JH
E01009096,"2,625",1,B35  6AH,B35, 6AH
E01009097,844,1,B76  1AU,B76, 1AU
E01009119,"11,219",4,B22  1AJ,B22, 1AJ
E01009121,"4,638",2,B44  8QS,B44, 8QS
E01009135,"15,301",5,B73  5AA,B73, 5AA
E01009139,"10,158",4,B66  4NR,B66, 4NR
E01009140,"7,037",3,B18  7BB,B18, 7BB
E01009155,"1,063",1,B45  0LS,B45, 0LS
E01009163,"3,374",2,B48  7QX,B48, 7QX
E01009194,"1,977",1,B9   4TQ,B9,  4TQ
E01009204,758,1,B80  7DN,B80, 7DN
E01009220,"8,380",3,B43  7DS,B43, 7DS
E01009253,"14,108",5,B68  0BY,B68, 0BY
E01009260,"21,980",7,B67  5ES,B67, 5ES
E01009264,"6,955",3,B21  9RG,B21, 9RG
E01009297,"2,493",1,B37  6EX,B37, 6EX
E01009320,"12,870",4,B92  8JT,B92, 8JT
E01009415,"30,694",10,B74  4RR,B74, 4RR
E01009415,"30,694",10,B75  5GA,B75, 5GA
E01009522,"11,987",4,CV6  1HW,CV6, 1HW
E01009523,"18,479",6,CV5  9BU,CV5, 9BU
E01009523,"18,479",6,CV7  8JJ,CV7, 8JJ
E01009532,"18,645",6,CV3  2JW,CV3, 2JW
E01009541,"3,083",1,CV1  1FP,CV1, 1FP
E01009541,"3,083",1,CV8  3ZU,CV8, 3ZU
E01009541,"3,083",1,CV4  0FR,CV4, 0FR
E01009567,"1,782",1,CV2  2ZG,CV2, 2ZG
E01009642,"5,918",2,CV12 0YB,CV12,0YB
E01009719,"15,779",5,DY5  2NF,DY5, 2NF
E01009721,"13,474",5,DY8  1YP,DY8, 1YP
E01009721,"13,474",5,DY9  7AB,DY9, 7AB
E01009732,"9,576",3,B63  4QF,B63, 4QF
E01009736,"24,929",8,B64  7JQ,B64, 7JQ
E01009746,"4,134",2,DY2  0RB,DY2, 0RB
E01009748,"2,392",1,DY1  2EH,DY1, 2EH
E01009749,"18,851",6,DY6  7LQ,DY6, 7LQ
E01009757,"6,585",3,DY4  7UE,DY4, 7UE
E01009763,"8,717",3,WV14 8AP,WV14,8AP
E01009771,"21,084",7,DY3  1AD,DY3, 1AD
E01009777,"7,794",3,WV4  6AY,WV4, 6AY
E01009792,"8,277",3,B65  8WS,B65, 8WS
E01009836,"1,556",1,DY10 1DT,DY10,1DT
E01009846,"24,966",8,DY7  6PR,DY7, 6PR
E01009898,"21,688",7,WV1  1SQ,WV1, 1SQ
E01009934,"4,732",2,B69  1AB,B69, 1AB
E01009946,"14,136",5,B71  3AA,B71, 3AA
E01009960,"5,308",2,WS10 0EY,WS10,0EY
E01009967,"9,774",3,WS1  4NH,WS1, 4NH
E01009969,"7,379",3,WS5  4JQ,WS5, 4JQ
E01009979,580,1,B70  0EZ,B70, 0EZ
E01010109,"16,201",5,B40  1NH,B40, 1NH
E01010109,"16,201",5,B46  3HU,B46, 3HU
E01010115,"17,475",6,B91  2SX,B91, 2SX
E01010115,"17,475",6,B93  0PA,B93, 0PA
E01010151,"25,406",8,B94  6JS,B94, 6JS
E01010174,"18,230",6,B90  3SE,B90, 3SE
E01010241,"25,925",8,WS9  0AL,WS9, 0AL
E01010246,"21,211",7,WS4  2JR,WS4, 2JR
E01010249,"9,369",3,WS8  7QL,WS8, 7QL
E01010258,"4,311",2,WS2  0BD,WS2, 0BD
E01010271,"2,361",1,WS3  2AA,WS3, 2AA
E01010291,"1,903",1,WV12 5BX,WV12,5BX
E01010376,"19,273",6,WV13 1NS,WV13,1NS
E01010398,"27,681",9,WV11 2RA,WV11,2RA
