LADC,index,index_scaled,PC,PC_O,PC_1
E01013335,"6,984",3,YO2  5HY,YO2, 5HY
E01013335,"6,984",3,YO26 5DY,YO26,5DY
E01013336,"20,828",7,YO1  3YN,YO1, 3YN
E01013336,"20,828",7,YO24 4LH,YO24,4LH
E01013340,"32,752",10,YO23 2RX,YO23,2RX
E01013343,"23,863",8,YO3  6EN,YO3, 6EN
E01013343,"23,863",8,YO30 6EN,YO30,6EN
E01013343,"23,863",8,YO31 8LA,YO31,8LA
E01013348,"24,734",8,YO91 1RT,YO91,1RT
E01013351,"29,410",9,YO19 5PE,YO19,5PE
E01013352,"30,929",10,YO10 5YQ,YO10,5YQ
E01013370,"28,476",9,YO32 2FG,YO32,2FG
E01013377,"31,017",10,YO6  1ES,YO6, 1ES
E01013426,"28,356",9,YO5  8JP,YO5, 8JP
E01013439,"32,736",10,YO60 7QY,YO60,7QY
E01013453,"9,063",3,DE1  1LD,DE1, 1LD
E01013453,"9,063",3,DE22 3QA,DE22,3QA
E01013453,"9,063",3,DE3  3WZ,DE3, 3WZ
E01013455,"8,315",3,DE23 6BS,DE23,6BS
E01013470,"9,814",3,DE21 7HX,DE21,7HX
E01013470,"9,814",3,DE2  0QQ,DE2, 0QQ
E01013470,"9,814",3,DE24 0JP,DE24,0JP
E01013514,"27,620",9,DE7  1UT,DE7, 1UT
E01013514,"27,620",9,DE73 6PZ,DE73,6PZ
E01013595,"13,441",5,DE72 3JY,DE72,3JY
E01013600,"1,654",1,LE4  2BN,LE4, 2BN
E01013607,"10,526",4,LE1  9FH,LE1, 9FH
E01013607,"10,526",4,LE3  5AL,LE3, 5AL
E01013608,"14,232",5,LE2  6UN,LE2, 6UN
E01013617,"11,285",4,LE7  7QT,LE7, 7QT
E01013625,"6,164",2,LE41 9AJ,LE41,9AJ
E01013646,"3,697",2,LE87 2BB,LE87,2BB
E01013651,"2,921",1,LE5  0NJ,LE5, 0NJ
E01013787,"20,122",7,LE15 8QN,LE15,8QN
E01013790,"14,381",5,PE9  4DH,PE9, 4DH
E01013794,"22,203",7,LE16 8RX,LE16,8RX
E01013810,"1,830",1,NG7  5JL,NG7, 5JL
E01013813,"3,259",1,NG1  4BL,NG1, 4BL
E01013816,"7,462",3,NG80 1FS,NG80,1FS
E01013817,145,1,NG8  3AP,NG8, 3AP
E01013827,"3,921",2,NG6  0NX,NG6, 0NX
E01013827,"3,921",2,NG5  1LX,NG5, 1LX
E01013860,"2,468",1,NG3  5WJ,NG3, 5WJ
E01013870,"5,362",2,NG2  1LX,NG2, 1LX
E01013895,"18,202",6,NG11 7FR,NG11,7FR
E01013914,"15,904",5,NG4  1HE,NG4, 1HE
E01013928,"17,109",6,NG90 1LZ,NG90,1LZ
E01013973,"16,250",5,NG9  2FZ,NG9, 2FZ
E01013986,"11,385",4,HR1  1BE,HR1, 1BE
E01013986,"11,385",4,HR4  9LR,HR4, 9LR
E01013991,"12,929",4,HR8  2RN,HR8, 2RN
E01013992,"8,406",3,HR2  7BF,HR2, 7BF
E01013998,"19,478",6,HR6  0AU,HR6, 0AU
E01013998,"19,478",6,SY8  4JG,SY8, 4JG
E01014000,"13,614",5,HR7  4PB,HR7, 4PB
E01014000,"13,614",5,WR6  6ED,WR6, 6ED
E01014000,"13,614",5,WR15 8RT,WR15,8RT
E01014008,"13,419",5,HR3  6DH,HR3, 6DH
E01014009,"12,513",4,HR5  3LB,HR5, 3LB
E01014015,"12,190",4,WR13 5JW,WR13,5JW
E01014021,"15,548",5,NP7  8HH,NP7, 8HH
E01014028,"20,409",7,WR14 2PY,WR14,2PY
E01014031,"14,723",5,HR9  6BZ,HR9, 6BZ
E01014031,"14,723",5,NP25 3SR,NP25,3SR
E01014031,"14,723",5,NP5  3SR,NP5, 3SR
E01014032,"16,309",5,GL17 9BH,GL17,9BH
E01014033,"10,472",4,LD8  2PS,LD8, 2PS
E01014051,"13,835",5,SY7  0BF,SY7, 0BF
E01014058,"17,968",6,GL18 1JP,GL18,1JP
E01014102,"29,226",9,TF1  6AE,TF1, 6AE
E01014102,"29,226",9,TF6  6DA,TF6, 6DA
E01014106,"10,030",4,TF3  1DP,TF3, 1DP
E01014111,"24,608",8,TF10 9EW,TF10,9EW
E01014111,"24,608",8,TF2  8JN,TF2, 8JN
E01014115,"3,610",2,TF7  4UQ,TF7, 4UQ
E01014119,"17,117",6,TF4  3LZ,TF4, 3LZ
E01014131,"20,450",7,TF9  2DW,TF9, 2DW
E01014136,"11,514",4,SY4  4JN,SY4, 4JN
E01014145,"7,715",3,TF13 6WH,TF13,6WH
E01014145,"7,715",3,TF5  0YB,TF5, 0YB
E01014148,"20,341",7,TF8  7PE,TF8, 7PE
E01014153,"7,563",3,TF11 9WS,TF11,9WS
E01014162,"3,682",2,TF12 5WA,TF12,5WA
E01014192,"10,157",4,WV99 1AA,WV99,1AA
E01014210,"1,901",1,ST2  8NS,ST2, 8NS
E01014213,"2,863",1,ST1  6AT,ST1, 6AT
E01014214,"23,632",8,ST9  9NG,ST9, 9NG
E01014229,"2,216",1,ST3  5EU,ST3, 5EU
E01014234,"3,619",2,ST4  4TN,ST4, 4TN
E01014236,"6,058",2,ST12 9BF,ST12,9BF
E01014241,"5,436",2,ST6  6NF,ST6, 6NF
E01014257,"7,193",3,ST8  7QB,ST8, 7QB
E01014258,"25,813",8,ST7  4GY,ST7, 4GY
E01014285,"5,538",2,ST5  0UA,ST5, 0UA
E01014307,"1,995",1,ST11 9LJ,ST11,9LJ
E01014370,"8,999",3,BA1  0AF,BA1, 0AF
E01014370,"8,999",3,BA2  4AN,BA2, 4AN
E01014371,"16,048",5,BA11 5NY,BA11,5NY
E01014371,"16,048",5,BA15 1WS,BA15,1WS
E01014371,"16,048",5,BA3  2ER,BA3, 2ER
E01014382,"28,637",9,BS14 0BU,BS14,0BU
E01014382,"28,637",9,BS18 6NJ,BS18,6NJ
E01014382,"28,637",9,BS40 8EA,BS40,8EA
E01014382,"28,637",9,BS41 8NR,BS41,8NR
E01014382,"28,637",9,BS39 4EU,BS39,4EU
E01014392,"18,441",6,BS31 2SH,BS31,2SH
E01014485,"11,727",4,BS2  9BB,BS2, 9BB
E01014485,"11,727",4,BS6  5JD,BS6, 5JD
E01014487,"16,452",6,BS7  0WY,BS7, 0WY
E01014489,"5,318",2,BS1  3RY,BS1, 3RY
E01014491,"19,934",7,BS99 7LX,BS99,7LX
E01014492,"6,812",3,BS11 0EF,BS11,0EF
E01014498,"7,982",3,BS10 7SL,BS10,7SL
E01014500,"11,395",4,BS13 7AA,BS13,7AA
E01014500,"11,395",4,BS3  2SA,BS3, 2SA
E01014523,"10,551",4,BS4  4FG,BS4, 4FG
E01014538,"22,829",7,BS8  1AU,BS8, 1AU
E01014544,"24,110",8,BS15 4UZ,BS15,4UZ
E01014558,"18,044",6,BS5  0YQ,BS5, 0YQ
E01014571,"10,832",4,BS16 1DA,BS16,1DA
E01014615,"32,150",10,BS9  4PX,BS9, 4PX
E01014693,"25,812",8,BS34 7DU,BS34,7DU
E01014737,"32,815",10,BS19 1DA,BS19,1DA
E01014737,"32,815",10,BS48 3HB,BS48,3HB
E01014741,"24,494",8,BS25 1AA,BS25,1AA
E01014742,"32,170",10,BS28 4ZQ,BS28,4ZQ
E01014742,"32,170",10,BS29 6WA,BS29,6WA
E01014744,"19,752",7,BS24 8PF,BS24,8PF
E01014744,"19,752",7,BS26 2XD,BS26,2XD
E01014750,"17,243",6,BS21 6PB,BS21,6PB
E01014764,"18,809",6,BS49 5AE,BS49,5AE
E01014766,"25,357",8,BS20 0HL,BS20,0HL
E01014772,"19,967",7,BS23 4TZ,BS23,4TZ
E01014773,"24,424",8,BS22 7RR,BS22,7RR
E01014810,"6,508",2,BS0  1ZZ,BS0, 1ZZ
E01014810,"6,508",2,BS80 8AA,BS80,8AA
E01014861,"15,709",5,BS12 5XA,BS12,5XA
E01014861,"15,709",5,BS35 5RF,BS35,5RF
E01014861,"15,709",5,BS32 4DF,BS32,4DF
E01014865,"19,238",6,BS30 6EE,BS30,6EE
E01014867,"24,060",8,BS17 3PH,BS17,3PH
E01014868,"23,354",8,BS37 8QE,BS37,8QE
E01014868,"23,354",8,BS36 2FE,BS36,2FE
E01014869,"31,600",10,SN14 8AA,SN14,8AA
E01014884,"20,180",7,GL12 8AY,GL12,8AY
E01014890,"23,721",8,GL9  1AJ,GL9, 1AJ
E01014962,"21,562",7,GL13 9DR,GL13,9DR
E01015023,"3,752",2,PL5  4DL,PL5, 4DL
E01015023,"3,752",2,PL6  5ES,PL6, 5ES
E01015031,"10,787",4,PL1  1XT,PL1, 1XT
E01015031,"10,787",4,PL3  4SP,PL3, 4SP
E01015031,"10,787",4,PL4  7BE,PL4, 7BE
E01015039,"17,788",6,PL2  2AN,PL2, 2AN
E01015095,"8,462",3,PL7  4NQ,PL7, 4NQ
E01015126,"28,676",9,PL9  8JU,PL9, 8JU
E01015135,"13,371",5,PL8  1BB,PL8, 1BB
E01015136,"19,182",6,PL95 8AA,PL95,8AA
E01015183,"10,935",4,TQ5  9AP,TQ5, 9AP
E01015190,"5,177",2,TQ3  3GS,TQ3, 3GS
E01015190,"5,177",2,TQ4  7GE,TQ4, 7GE
E01015207,"16,985",6,TQ2  6EB,TQ2, 6EB
E01015214,"2,691",1,TQ1  1HX,TQ1, 1HX
E01015253,"21,904",7,TQ12 4SU,TQ12,4SU
E01015272,"22,492",7,BH5  1LH,BH5, 1LH
E01015273,"6,665",3,BH7  6JS,BH7, 6JS
E01015273,"6,665",3,BH6  5NS,BH6, 5NS
E01015275,"14,447",5,BH1  3JL,BH1, 3JL
E01015283,"7,828",3,BH2  6EG,BH2, 6EG
E01015285,"8,418",3,BH8  8AA,BH8, 8AA
E01015288,"3,481",2,BH3  7YL,BH3, 7YL
E01015301,"15,111",5,BH10 5JD,BH10,5JD
E01015302,"13,802",5,BH11 9HE,BH11,9HE
E01015308,"9,432",3,BH9  3QF,BH9, 3QF
E01015344,"23,702",8,BH4  9YT,BH4, 9YT
E01015371,"8,273",3,BH13 6BJ,BH13,6BJ
E01015379,"4,570",2,BH12 5AD,BH12,5AD
E01015382,"11,152",4,BH17 0YB,BH17,0YB
E01015382,"11,152",4,BH18 8EF,BH18,8EF
E01015390,"11,821",4,BH14 9BN,BH14,9BN
E01015399,"31,895",10,BH21 3BY,BH21,3BY
E01015423,"13,809",5,BH15 4FD,BH15,4FD
E01015427,"13,677",5,BH16 5AB,BH16,5AB
E01015471,"29,337",9,SN2  3GD,SN2, 3GD
E01015471,"29,337",9,SN25 2DN,SN25,2DN
E01015473,"26,343",9,SN6  7SD,SN6, 7SD
E01015473,"26,343",9,SN3  4AG,SN3, 4AG
E01015473,"26,343",9,SN26 7ER,SN26,7ER
E01015475,"11,913",4,SN1  1HN,SN1, 1HN
E01015476,"4,377",2,SN38 2AD,SN38,2AD
E01015476,"4,377",2,SN99 9AB,SN99,9AB
E01015478,"18,103",6,SN5  8WF,SN5, 8WF
E01015488,"8,561",3,SN4  0JH,SN4, 0JH
E01015501,"26,769",9,SN17 2QN,SN17,2QN
E01015548,"27,913",9,SN8  2JY,SN8, 2JY
E01015589,"24,196",8,PE6  7BL,PE6, 7BL
E01015591,"13,629",5,PE3  8ER,PE3, 8ER
E01015596,"4,314",2,PE4  6FR,PE4, 6FR
E01015599,"4,046",2,PE1  9ST,PE1, 9ST
E01015599,"4,046",2,PE2  5HW,PE2, 5HW
E01015618,"12,272",4,PE13 4AY,PE13,4AY
E01015626,"24,729",8,PE8  6EF,PE8, 6EF
E01015627,"22,325",7,PE5  7BQ,PE5, 7BQ
E01015644,"17,949",6,PE17 5SA,PE17,5SA
E01015644,"17,949",6,PE7  3UG,PE7, 3UG
E01015686,"19,886",7,CB1  0AR,CB1, 0AR
E01015686,"19,886",7,CB2  3HQ,CB2, 3HQ
E01015686,"19,886",7,CB23 7WD,CB23,7WD
E01015686,"19,886",7,PE99 1AA,PE99,1AA
E01015693,"26,014",8,LU2  7HT,LU2, 7HT
E01015694,"22,770",7,LU3  1LW,LU3, 1LW
E01015698,"4,152",2,LU1  1EP,LU1, 1EP
E01015703,"4,779",2,LU4  8JA,LU4, 8JA
E01015753,"13,483",5,HP23 4QF,HP23,4QF
E01015793,"12,973",4,LU7  3SH,LU7, 3SH
E01015814,"14,924",5,SS9  2AF,SS9, 2AF
E01015820,"4,011",2,SS0  0BP,SS0, 0BP
E01015839,"6,034",2,SS1  2EU,SS1, 2EU
E01015839,"6,034",2,SS2  4GX,SS2, 4GX
E01015841,"1,326",1,SS99 0YY,SS99,0YY
E01015866,"18,858",6,SS22 8DE,SS22,8DE
E01015876,"20,816",7,SS3  9GB,SS3, 9GB
E01015898,"4,403",2,SS4  3QY,SS4, 3QY
E01015921,"6,562",2,RM16 1RG,RM16,1RG
E01015921,"6,562",2,RM19 1SE,RM19,1SE
E01015935,"8,243",3,RM17 6HH,RM17,6HH
E01015943,"18,384",6,SS16 5LA,SS16,5LA
E01015943,"18,384",6,SS17 7NN,SS17,7NN
E01015946,"21,773",7,SS12 0RJ,SS12,0RJ
E01015947,"10,362",4,RM18 8UT,RM18,8UT
E01015951,"13,516",5,RM20 4XQ,RM20,4XQ
E01016016,"7,578",3,ME4  4RX,ME4, 4RX
E01016026,"29,727",10,ME2  1DD,ME2, 1DD
E01016030,"8,553",3,ME7  2TQ,ME7, 2TQ
E01016048,"11,512",4,ME5  7AZ,ME5, 7AZ
E01016050,"30,574",10,ME8  0TY,ME8, 0TY
E01016070,"9,858",4,ME3  8RP,ME3, 8RP
E01016103,"26,391",9,ME9  7UY,ME9, 7UY
E01016110,"6,047",2,ME1  1BA,ME1, 1BA
E01016130,"12,530",4,ME99 1AA,ME99,1AA
E01016180,"27,260",9,SL5  8TZ,SL5, 8TZ
E01016181,"28,317",9,GU19 5PN,GU19,5PN
E01016181,"28,317",9,RG12 9UB,RG12,9UB
E01016181,"28,317",9,RG42 3SW,RG42,3SW
E01016184,"29,757",10,RG11 3DA,RG11,3DA
E01016184,"29,757",10,RG40 3DJ,RG40,3DJ
E01016186,"26,092",8,RG10 0QF,RG10,0QF
E01016192,"23,365",8,GU17 8DP,GU17,8DP
E01016192,"23,365",8,GU47 9AA,GU47,9AA
E01016193,"29,238",9,GU15 4EA,GU15,4EA
E01016194,"32,635",10,RG45 7PP,RG45,7PP
E01016228,"31,240",10,GU46 6FP,GU46,6FP
E01016252,"23,071",8,SL4  2HA,SL4, 2HA
E01016254,"18,744",6,RG26 6QY,RG26,6QY
E01016254,"18,744",6,RG7  4PP,RG7, 4PP
E01016255,"26,754",9,RG15 8ED,RG15,8ED
E01016255,"26,754",9,RG19 4NN,RG19,4NN
E01016256,"28,597",9,RG8  8AH,RG8, 8AH
E01016258,"28,007",9,RG3  5HJ,RG3, 5HJ
E01016258,"28,007",9,RG31 4ES,RG31,4ES
E01016260,"29,885",10,RG30 4QZ,RG30,4QZ
E01016263,"27,019",9,RG18 0UL,RG18,0UL
E01016263,"27,019",9,RG16 0UL,RG16,0UL
E01016265,"25,790",8,RG13 4JX,RG13,4JX
E01016277,"25,062",8,RG20 8TW,RG20,8TW
E01016277,"25,062",8,RG14 3AN,RG14,3AN
E01016287,"17,875",6,OX12 8NH,OX12,8NH
E01016287,"17,875",6,RG17 7DL,RG17,7DL
E01016339,"24,626",8,RG1  9WX,RG1, 9WX
E01016355,"20,748",7,RG4  8AG,RG4, 8AG
E01016368,"3,882",2,RG2  7LU,RG2, 7LU
E01016370,"22,535",7,RG6  6HA,RG6, 6HA
E01016442,"9,492",3,RG27 7NE,RG27,7NE
E01016442,"9,492",3,RG5  3SD,RG5, 3SD
E01016444,"9,531",3,SL1  3LL,SL1, 3LL
E01016444,"9,531",3,SL2  1JX,SL2, 1JX
E01016456,"7,967",3,SL3  7BF,SL3, 7BF
E01016468,"24,239",8,SL6  0XW,SL6, 0XW
E01016492,"17,213",6,SL95 1DX,SL95,1DX
E01016506,"18,092",6,SL0  9XS,SL0, 9XS
E01016531,"28,458",9,SL7  1RE,SL7, 1RE
E01016533,"32,565",10,SL8  5RG,SL8, 5RG
E01016576,"28,447",9,TW18 4TS,TW18,4TS
E01016579,"20,638",7,RG9  3EB,RG9, 3EB
E01016610,"25,039",8,RG41 5BD,RG41,5BD
E01016710,"11,648",4,MK1  1XU,MK1, 1XU
E01016710,"11,648",4,MK2  2DF,MK2, 2DF
E01016711,"25,604",8,MK3  5AP,MK3, 5AP
E01016716,"11,207",4,MK4  3WU,MK4, 3WU
E01016716,"11,207",4,MK5  6XZ,MK5, 6XZ
E01016716,"11,207",4,MK77 1ST,MK77,1ST
E01016717,"12,012",4,MK13 7PH,MK13,7PH
E01016718,"3,373",2,MK14 7YG,MK14,7YG
E01016719,"20,067",7,MK12 5YL,MK12,5YL
E01016723,"25,119",8,MK11 3DW,MK11,3DW
E01016723,"25,119",8,MK9  3JD,MK9, 3JD
E01016725,"11,061",4,MK6  2NA,MK6, 2NA
E01016731,"15,455",5,MK15 0ED,MK15,0ED
E01016734,"22,588",7,MK17 8DY,MK17,8DY
E01016734,"22,588",7,MK7  8AA,MK7, 8AA
E01016755,"24,263",8,MK16 0QB,MK16,0QB
E01016759,"23,522",8,MK19 7PB,MK19,7PB
E01016759,"23,522",8,NN7  2JP,NN7, 2JP
E01016773,"27,468",9,MK43 8AX,MK43,8AX
E01016774,"25,571",8,MK8  9AA,MK8, 9AA
E01016783,"22,815",7,MK10 0AT,MK10,0AT
E01016793,"28,489",9,MK46 5WA,MK46,5WA
E01016800,"28,558",9,NN9  7NP,NN9, 7NP
E01016800,"28,558",9,NN8  7NP,NN8, 7NP
E01016804,"7,774",3,MK98 1AA,MK98,1AA
E01016849,"14,825",5,BN3  1JJ,BN3, 1JJ
E01016850,"12,227",4,BN1  2PB,BN1, 2PB
E01016859,"19,528",6,BN52 9SL,BN52,9SL
E01016861,"8,135",3,BN2  1DP,BN2, 1DP
E01016881,"7,245",3,BN4  1XW,BN4, 1XW
E01016916,"21,094",7,BN41 2WN,BN41,2WN
E01016936,"22,962",7,BN88 1PR,BN88,1PR
E01016949,"3,761",2,BN6  8XW,BN6, 8XW
E01016952,"7,483",3,BN50 8SA,BN50,8SA
E01016960,"20,501",7,BN51 9AA,BN51,9AA
E01016969,"5,040",2,BN45 7BE,BN45,7BE
E01016994,"13,161",5,BN42 4QY,BN42,4QY
E01017013,"13,264",5,PO3  5FG,PO3, 5FG
E01017020,"9,199",3,PO4  8YH,PO4, 8YH
E01017022,"13,074",4,PO5  1JU,PO5, 1JU
E01017031,608,1,PO1  1PX,PO1, 1PX
E01017032,"3,580",2,PO2  8YL,PO2, 8YL
E01017050,"20,208",7,PO6  2HZ,PO6, 2HZ
E01017061,"28,351",9,PO7  5AU,PO7, 5AU
E01017116,"6,452",2,PO17 6AR,PO17,6AR
E01017136,"14,084",5,SO1  0WD,SO1, 0WD
E01017136,"14,084",5,SO15 1DB,SO15,1DB
E01017136,"14,084",5,SO9  1XE,SO9, 1XE
E01017138,"17,419",6,SO14 7AH,SO14,7AH
E01017139,"4,497",2,SO2  0AA,SO2, 0AA
E01017140,"6,247",2,SO18 9SW,SO18,9SW
E01017140,"6,247",2,SO16 7ZA,SO16,7ZA
E01017149,"6,074",2,SO17 1TU,SO17,1TU
E01017162,"11,066",4,SO19 6PY,SO19,6PY
E01017174,"19,333",6,SO3  3HY,SO3, 3HY
E01017194,"7,818",3,SO45 5XS,SO45,5XS
E01017194,"7,818",3,SO4  6WA,SO4, 6WA
E01017282,"13,271",5,PO33 2XF,PO33,2XF
E01017284,"26,782",9,PO35 5TS,PO35,5TS
E01017285,"21,073",7,PO36 8QT,PO36,8QT
E01017290,"11,519",4,PO31 8NB,PO31,8NB
E01017290,"11,519",4,PO38 2LW,PO38,2LW
E01017290,"11,519",4,PO41 0UD,PO41,0UD
E01017290,"11,519",4,PO30 4AB,PO30,4AB
E01017307,"16,069",5,PO32 6PU,PO32,6PU
E01017312,"11,457",4,PO40 9BQ,PO40,9BQ
E01017312,"11,457",4,PO39 0LJ,PO39,0LJ
E01017320,"18,329",6,PO37 7EX,PO37,7EX
E01017345,"4,220",2,PO34 5YU,PO34,5YU
E01017371,"32,765",10,MK45 2HG,MK45,2HG
E01017376,"25,153",8,SG15 6AF,SG15,6AF
E01017381,"28,859",9,SG18 8HA,SG18,8HA
E01017389,"27,611",9,SG6  4YX,SG6, 4YX
E01017391,"18,199",6,SG16 6AL,SG16,6AL
E01017391,"18,199",6,SG17 5HA,SG17,5HA
E01017408,"31,403",10,LU5  6LA,LU5, 6LA
E01017423,"20,548",7,MK44 3LY,MK44,3LY
E01017423,"20,548",7,PE19 4YF,PE19,4YF
E01017423,"20,548",7,SG19 2BA,SG19,2BA
E01017425,"24,612",8,SG7  5JL,SG7, 5JL
E01017425,"24,612",8,SG8  0LF,SG8, 0LF
E01017442,"30,270",10,SG5  3SD,SG5, 3SD
E01017453,"7,936",3,MK41 7AJ,MK41,7AJ
E01017456,"30,391",10,MK40 2UR,MK40,2UR
E01017466,"2,305",1,MK42 0EZ,MK42,0EZ
E01017503,"18,176",6,NN10 0SG,NN10,0SG
E01017503,"18,176",6,NN29 7GB,NN29,7GB
E01017540,"19,345",6,PE18 0LH,PE18,0LH
E01017540,"19,345",6,PE28 0LX,PE28,0LX
E01017555,"10,975",4,LU95 1AA,LU95,1AA
E01017561,"24,376",8,AL3  8QE,AL3, 8QE
E01017561,"24,376",8,LU6  3QP,LU6, 3QP
E01017564,"20,155",7,AL5  3QF,AL5, 3QF
E01017587,"21,609",7,HP4  1QR,HP4, 1QR
E01017627,"23,590",8,HP22 5EJ,HP22,5EJ
E01017631,"31,515",10,HP21 9HQ,HP21,9HQ
E01017631,"31,515",10,HP18 0HY,HP18,0HY
E01017631,"31,515",10,HP27 0YR,HP27,0YR
E01017634,"15,569",5,HP20 1AL,HP20,1AL
E01017642,"19,996",7,OX33 1DE,OX33,1DE
E01017642,"19,996",7,OX9  1DE,OX9, 1DE
E01017642,"19,996",7,OX5  2RG,OX5, 2RG
E01017644,"29,502",9,MK18 7AB,MK18,7AB
E01017653,"24,291",8,HP19 7FA,HP19,7FA
E01017653,"24,291",8,HP17 8FA,HP17,8FA
E01017693,"27,750",9,OX6  0GT,OX6, 0GT
E01017693,"27,750",9,OX27 0HN,OX27,0HN
E01017717,"18,879",6,NN13 7JP,NN13,7JP
E01017726,"25,757",8,HP16 9PW,HP16,9PW
E01017739,"32,681",10,HP7  9ES,HP7, 9ES
E01017739,"32,681",10,HP6  6JX,HP6, 6JX
E01017740,"29,621",10,HP5  1TS,HP5, 1TS
E01017742,"32,488",10,HP8  4AY,HP8, 4AY
E01017751,"32,778",10,SL9  8JA,SL9, 8JA
E01017759,"28,155",9,HP9  2ST,HP9, 2ST
E01017773,"31,116",10,HP15 6XF,HP15,6XF
E01017783,"26,684",9,HP10 8LE,HP10,8LE
E01017836,"26,057",8,HP11 2AP,HP11,2AP
E01017836,"26,057",8,HP12 3FZ,HP12,3FZ
E01017837,"15,005",5,HP13 5FX,HP13,5FX
E01017838,"25,718",8,HP14 3YS,HP14,3YS
E01017842,"26,459",9,OX39 4BH,OX39,4BH
E01017877,"28,219",9,OX14 4XQ,OX14,4XQ
E01017878,"20,302",7,OX11 0TE,OX11,0TE
E01017885,"30,478",10,OX2  9XW,OX2, 9XW
E01017915,"21,944",7,OX49 5HZ,OX49,5HZ
E01017943,"19,496",6,CB21 4WT,CB21,4WT
E01017943,"19,496",6,CB22 3BA,CB22,3BA
E01017943,"19,496",6,CB25 0WA,CB25,0WA
E01017943,"19,496",6,CB3  6DA,CB3, 6DA
E01017943,"19,496",6,CB24 4WY,CB24,4WY
E01017943,"19,496",6,CB4  6YW,CB4, 6YW
E01017943,"19,496",6,CB5  0AX,CB5, 0AX
E01018011,"22,741",7,CB10 1RU,CB10,1RU
E01018011,"22,741",7,CB8  0GG,CB8, 0GG
E01018020,"17,086",6,CB6  2RY,CB6, 2RY
E01018024,"12,612",4,CB7  4ZL,CB7, 4ZL
E01018035,"15,927",5,IP28 8LE,IP28,8LE
E01018044,"11,278",4,PE38 0PP,PE38,0PP
E01018045,"16,555",6,PE14 9TG,PE14,9TG
E01018059,"14,705",5,PE26 2SQ,PE26,2SQ
E01018060,"11,627",4,PE15 0HT,PE15,0HT
E01018062,"13,044",4,PE16 6AY,PE16,6AY
E01018090,"6,929",3,PE12 0QU,PE12,0QU
E01018118,"29,870",10,PE29 2WL,PE29,2WL
E01018121,"32,711",10,PE27 4AA,PE27,4AA
E01018308,"15,839",5,CH3  7JW,CH3, 7JW
E01018308,"15,839",5,CH2  4JS,CH2, 4JS
E01018308,"15,839",5,WA6  0AF,WA6, 0AF
E01018309,"9,887",4,CH1  5DF,CH1, 5DF
E01018327,"6,304",2,CH4  0ZW,CH4, 0ZW
E01018327,"6,304",2,CH88 3AQ,CH88,3AQ
E01018327,"6,304",2,CH99 1AA,CH99,1AA
E01018330,"22,512",7,CH70 8AY,CH70,8AY
E01018337,"10,303",4,CH66 2PY,CH66,2PY
E01018349,"30,877",10,CW6  0GN,CW6, 0GN
E01018355,"19,176",6,SY14 7DQ,SY14,7DQ
E01018356,"18,978",6,SY13 4JH,SY13,4JH
E01018360,"21,565",7,L66  8PA,L66, 8PA
E01018393,"20,096",7,CW11 0WA,CW11,0WA
E01018393,"20,096",7,CW12 1TT,CW12,1TT
E01018394,"17,907",6,CW10 0HE,CW10,0HE
E01018394,"17,907",6,CW4  7FU,CW4, 7FU
E01018411,"30,406",10,WA16 9LD,WA16,9LD
E01018412,"22,516",7,SK11 9FT,SK11,9FT
E01018444,"15,533",5,CW5  5GS,CW5, 5GS
E01018445,"3,221",1,CW2  5AA,CW2, 5AA
E01018449,"22,879",7,CW3  0HL,CW3, 0HL
E01018457,"21,757",7,CW1  1DA,CW1, 1DA
E01018480,"15,991",5,CW7  4BH,CW7, 4BH
E01018501,"15,561",5,CW98 1AD,CW98,1AD
E01018521,"2,117",1,CH34 9SA,CH34,9SA
E01018534,"8,936",3,CH33 9AJ,CH33,9AJ
E01018586,"22,997",8,SK23 7RE,SK23,7RE
E01018598,"23,872",8,CW9  6LE,CW9, 6LE
E01018671,"32,025",10,CW8  4LU,CW8, 4LU
E01018750,"17,268",6,PL17 7BJ,PL17,7BJ
E01018752,"18,718",6,PL18 9ZX,PL18,9ZX
E01018756,"13,989",5,PL12 6TA,PL12,6TA
E01018757,"12,709",4,PL11 3DP,PL11,3DP
E01018757,"12,709",4,PL13 1QL,PL13,1QL
E01018758,"11,357",4,PL14 4FL,PL14,4FL
E01018766,"10,528",4,PL23 1LX,PL23,1LX
E01018766,"10,528",4,PL22 0QN,PL22,0QN
E01018766,"10,528",4,PL30 4RA,PL30,4RA
E01018777,"12,624",4,PL15 9QJ,PL15,9QJ
E01018780,"13,254",5,PL10 1XJ,PL10,1XJ
E01018803,"18,930",6,TR11 3LB,TR11,3LB
E01018807,"20,313",7,TR1  1UQ,TR1, 1UQ
E01018807,"20,313",7,TR2  4YF,TR2, 4YF
E01018807,"20,313",7,TR3  6WD,TR3, 6WD
E01018807,"20,313",7,TR4  8FA,TR4, 8FA
E01018807,"20,313",7,TR5  0YG,TR5, 0YG
E01018809,"9,388",3,PL25 4YF,PL25,4YF
E01018815,"9,217",3,TR8  4PN,TR8, 4PN
E01018820,"11,985",4,TR16 5BL,TR16,5BL
E01018827,"20,955",7,TR10 9LD,TR10,9LD
E01018833,"14,225",5,TR6  0AD,TR6, 0AD
E01018847,"14,320",5,PL26 7SD,PL26,7SD
E01018861,"10,091",4,TR13 0RL,TR13,0RL
E01018862,"11,765",4,TR20 9JE,TR20,9JE
E01018862,"11,765",4,TR18 2UB,TR18,2UB
